春山,0.02396893338079643,暉暉,ming
魚詩,0.02389182320609551,暉暉,ming
法相,0.023831441994407458,暉暉,ming
隱冥遍,0.02368098143874066,暉暉,ming
艶,0.02367173879365906,暉暉,ming
，,0.02365343753900304,暉暉,ming
我生,0.023554683427360883,暉暉,ming
虛空界,0.02349729663638589,暉暉,ming
矯,0.023283272967297434,暉暉,ming
重磨,0.023226711538274842,暉暉,ming
挂,0.02315542549473612,暉暉,ming
降室,0.02310436540984003,暉暉,ming
苑,0.023010378436070726,暉暉,ming
乃紅,0.022868563885736548,暉暉,ming
闇,0.022778810880587377,暉暉,ming
因,0.022777094523866163,暉暉,ming
花氣,0.02270334336861267,暉暉,ming
春桑葉,0.02268987236298612,暉暉,ming
杳,0.022606486282203898,暉暉,ming
奕奕,0.02257367238466036,暉暉,ming
雲氣,0.022470589116458703,暉暉,ming
自作,0.02246584241638764,暉暉,ming
覆己,0.02240418982792229,暉暉,ming
沒人逢,0.022296484226301788,暉暉,ming
之丹色,0.022220814918238605,暉暉,ming
滿空黃葉,0.022137493550171278,暉暉,ming
內,0.022096871359265004,暉暉,ming
濃,0.022007062030301214,暉暉,ming
退,0.0219913261987366,暉暉,ming
返照,0.021896570608541433,暉暉,ming
黑,0.021894370016030958,暉暉,ming
天罡,0.021887786698609666,暉暉,ming
之液,0.02183809422153509,暉暉,ming
紫霞,0.021793149596852125,暉暉,ming
頭頭,0.021606527953290815,暉暉,ming
經緯,0.021540762664687758,暉暉,ming
嫋嫋,0.02146485614427243,暉暉,ming
咒遣,0.021420544421598346,暉暉,ming
童子,0.021226740003503563,暉暉,ming
斜入,0.021082959508599876,暉暉,ming
林林,0.02108269854179549,暉暉,ming
嬰爾,0.020916481945569335,暉暉,ming
鳥聲,0.0208897320988836,暉暉,ming
窗前,0.02088973209888359,暉暉,ming
星,0.020850022358569108,暉暉,ming
穿,0.02076266252582271,暉暉,ming
此玉,0.020760600672869632,暉暉,ming
涯,0.02069854961791405,暉暉,ming
峯,0.020548146150285204,暉暉,ming
無持,0.020542720915251646,暉暉,ming
九道,0.020540155640162996,暉暉,ming
直下,0.02051754293408615,暉暉,ming
雨度,0.020435153540888342,暉暉,ming
然鮮明,0.020338963599114083,暉暉,ming
日,0.020307646371596176,暉暉,ming
會,0.020251103151198234,暉暉,ming
形從口,0.020245120054904794,暉暉,ming
之光,0.020188188308244356,暉暉,ming
照,0.020062760416026677,暉暉,ming
用無作,0.0199232468661842,暉暉,ming
賞花,0.019888768769637275,暉暉,ming
岫,0.01988757057270332,暉暉,ming
繁枝亞,0.01987452310979857,暉暉,ming
竹日淨,0.01973050789546663,暉暉,ming
光曜明,0.019729901075442417,暉暉,ming
石上,0.019684197240726474,暉暉,ming
衝天,0.019620452251345025,暉暉,ming
面前,0.019606110825576107,暉暉,ming
師不自作,0.01960324171849348,暉暉,ming
出,0.019543813219888767,暉暉,ming
聒聒,0.01949339605394056,暉暉,ming
秦家,0.01945223230823704,暉暉,ming
遍,0.019440418596623387,暉暉,ming
陌上,0.019370667598844146,暉暉,ming
清風,0.019323088478036664,暉暉,ming
朝雨,0.01925898916012493,暉暉,ming
高,0.01924290449382459,暉暉,ming
含,0.01913633211650831,暉暉,ming
之照,0.01908641460538351,暉暉,ming
可愛不,0.019074588335711205,暉暉,ming
登元,0.019073239645016317,暉暉,ming
㣲,0.018999665389593686,暉暉,ming
烟輕,0.01895479821227866,暉暉,ming
淨明,0.018911315911836264,暉暉,ming
打頭,0.018845180375030548,暉暉,ming
飛汀,0.018810946752903783,暉暉,ming
光林召,0.018774204009321924,暉暉,ming
絞亂,0.01877420400932192,暉暉,ming
天星,0.018774204009321897,暉暉,ming
田父,0.01875383788178965,暉暉,ming
疎,0.018692978648184352,暉暉,ming
來,0.018635822813601998,暉暉,ming
風来,0.01863237755613097,暉暉,ming
祈求,0.01850026387136602,暉暉,ming
紫元君,0.018396815792045745,暉暉,ming
迴,0.018378930824411697,暉暉,ming
落鳳控,0.018369993915481546,暉暉,ming
正法,0.01836047557037466,暉暉,ming
念,0.018300777484237026,暉暉,ming
皓月,0.01828443419596259,暉暉,ming
登无濯形,0.018225048422815086,暉暉,ming
无濠涯,0.01821383817455274,暉暉,ming
隱芝秀鳳丘,0.01821383817455274,暉暉,ming
行神步,0.018155743608083953,暉暉,ming
咽,0.018096781749884047,暉暉,ming
赤,0.01808535053130977,暉暉,ming
乃,0.01803503628237939,暉暉,ming
二十,0.017929932366454775,暉暉,ming
朱檻,0.017878631098242132,暉暉,ming
如始生,0.017852045027184422,暉暉,ming
枕上,0.01778487916142963,暉暉,ming
自然,0.017632936500878143,暉暉,ming
誰,0.01762431012171092,暉暉,ming
圓珠,0.017578268117881303,暉暉,ming
緗,0.017538450007220263,暉暉,ming
墜,0.017423407817801256,暉暉,ming
真者,0.01731424630725454,暉暉,ming
五色,0.017305544601009623,暉暉,ming
焉,0.017290326900192752,暉暉,ming
一日,0.01713513258736835,暉暉,ming
悠悠,0.01711360601467736,暉暉,ming
宋仁宗,0.01701984555166123,暉暉,ming
初過,0.016971056578387343,暉暉,ming
未收,0.016790741855669037,暉暉,ming
蕎麥怯,0.016782287889438807,暉暉,ming
如此,0.016770632767623556,暉暉,ming
斗牛,0.016683195229664015,暉暉,ming
風文手,0.016652158090868015,暉暉,ming
寒夜,0.01652679634590136,暉暉,ming
震宮,0.01643900706094507,暉暉,ming
湛湛,0.016433298834168397,暉暉,ming
流真香,0.016432991840470472,暉暉,ming
扉,0.016327117575258714,暉暉,ming
鳳文手,0.016313769227246224,暉暉,ming
有人,0.016218953079285198,暉暉,ming
投思,0.016156656918159533,暉暉,ming
衣服,0.015967238507379848,暉暉,ming
形八瓊,0.015920457246266086,暉暉,ming
桃君形,0.015871579489966574,暉暉,ming
樓,0.01581275420626194,暉暉,ming
南方,0.015690610932054722,暉暉,ming
靣,0.015658647702706936,暉暉,ming
執神,0.015599597237282544,暉暉,ming
新霜,0.015436005468129607,暉暉,ming
中下,0.015292175123047766,暉暉,ming
得,0.015244116396002424,暉暉,ming
路風花,0.015068118451864222,暉暉,ming
明圓,0.014982625037253046,暉暉,ming
秀,0.014962825881659909,暉暉,ming
三九,0.014929956959615133,暉暉,ming
功德,0.014879489253975472,暉暉,ming
高下,0.014579341726834458,暉暉,ming
同光共影,0.014518125744126613,暉暉,ming
真精陽,0.014452001268750262,暉暉,ming
蕎麥,0.014442429200008093,暉暉,ming
華,0.01443078792035371,暉暉,ming
勿,0.014425842457389,暉暉,ming
相疑,0.01442161759608543,暉暉,ming
期殘,0.014420412217819038,暉暉,ming
震,0.014385218037160618,暉暉,ming
碎,0.014351464156637359,暉暉,ming
凜,0.01430030129009331,暉暉,ming
呼為,0.014239909466739349,暉暉,ming
不知,0.014221244258264418,暉暉,ming
腎府,0.014180574490202841,暉暉,ming
逡,0.013955570281139645,暉暉,ming
游,0.01384331297789103,暉暉,ming
獨立春,0.01381781733288191,暉暉,ming
乾坤,0.01380661460616941,暉暉,ming
廵,0.013788969837042423,暉暉,ming
薄,0.013718346544408361,暉暉,ming
幽,0.013646494999586254,暉暉,ming
江村,0.013602889584058291,暉暉,ming
咒,0.013531547384295435,暉暉,ming
孤所難,0.01348351976240265,暉暉,ming
太霞,0.013459550282681703,暉暉,ming
離離,0.013454506548752796,暉暉,ming
髮,0.013439272810217914,暉暉,ming
處,0.01341699821485741,暉暉,ming
赫赤,0.013315451951793148,暉暉,ming
滿,0.013228164736002768,暉暉,ming
繒,0.013062753547777237,暉暉,ming
好,0.013055088473391693,暉暉,ming
錦,0.013004576869431912,暉暉,ming
綵,0.012970965759350698,暉暉,ming
絕空,0.012918307844349278,暉暉,ming
為錄,0.012905435032551973,暉暉,ming
高節,0.012731343330916134,暉暉,ming
者,0.012712995990270074,暉暉,ming
兮,0.0126682115386735,暉暉,ming
絲,0.01258657279383065,暉暉,ming
暖,0.0124319988483216,暉暉,ming
鏁,0.012411385292849368,暉暉,ming
中,0.012265774539843174,暉暉,ming
要,0.012228138480685598,暉暉,ming
口乃開,0.012219541979536324,暉暉,ming
滌垢華池,0.012078020258777397,暉暉,ming
耳六淵者,0.012043998536320016,暉暉,ming
色,0.011962356315014109,暉暉,ming
飛仙,0.011933762028874018,暉暉,ming
觀,0.011865559860517662,暉暉,ming
青,0.011856178179616981,暉暉,ming
。,0.01181383614966355,暉暉,ming
細尋殘夢,0.01175282839590409,暉暉,ming
透綺窗,0.011752828395904085,暉暉,ming
一一,0.011706930997456773,暉暉,ming
符合,0.011635969306959038,暉暉,ming
人事,0.011565373137832147,暉暉,ming
混沌,0.011487877453441844,暉暉,ming
素旦琅華,0.01146597345408805,暉暉,ming
鬱,0.011439174293932467,暉暉,ming
一月,0.011410153883735627,暉暉,ming
形,0.011356681588536545,暉暉,ming
目以,0.011346526026776393,暉暉,ming
復,0.011289371662799148,暉暉,ming
濯,0.011241333821197226,暉暉,ming
耳玉賢天,0.01120188589214724,暉暉,ming
乃元君,0.011164419312427957,暉暉,ming
茅簷,0.01109897397841831,暉暉,ming
未成,0.011053315953684134,暉暉,ming
散,0.010979564370529073,暉暉,ming
嬰爾形,0.010935718063042187,暉暉,ming
七首,0.010921920831580311,暉暉,ming
倚,0.010916401423645002,暉暉,ming
一名,0.01086294711821932,暉暉,ming
滿村,0.010827071877270146,暉暉,ming
罥,0.010816027316285615,暉暉,ming
遊嬉,0.010723260110847394,暉暉,ming
口,0.010678059703401053,暉暉,ming
帝之魂,0.010582811691337516,暉暉,ming
巘,0.01057950786284691,暉暉,ming
登晨,0.010566031272525705,暉暉,ming
金色,0.010553699445610337,暉暉,ming
collocate,value,ideo,period
暉暉,0.18722361159761933,暉暉,minguo
徙居,0.055862017536364994,暉暉,minguo
鄞為,0.05529923161288956,暉暉,minguo
生曜及,0.054042785078069894,暉暉,minguo
甬東,0.053583751628210614,暉暉,minguo
純純,0.05210140130335606,暉暉,minguo
始祖,0.05063676093909426,暉暉,minguo
十方,0.05033368756412739,暉暉,minguo
功俊生,0.04976132547376007,暉暉,minguo
有光,0.04875017736502772,暉暉,minguo
遍照,0.04794710477901891,暉暉,minguo
幽室,0.04699859344872435,暉暉,minguo
日出,0.04659970205879144,暉暉,minguo
冋,0.04513826950161277,暉暉,minguo
曉海日,0.04476556242089735,暉暉,minguo
三山,0.04475777129194596,暉暉,minguo
羽蓋共雲飛,0.0443744520647522,暉暉,minguo
教化,0.043979308205489016,暉暉,minguo
見何,0.043147888107203984,暉暉,minguo
舊,0.04284087695207981,暉暉,minguo
想層巔,0.04282478682518834,暉暉,minguo
淨明,0.04189690879951174,暉暉,minguo
功俊,0.04160575992783254,暉暉,minguo
隨眾,0.041587173436858076,暉暉,minguo
春陽,0.04150291485260743,暉暉,minguo
朝陽,0.04128327829574822,暉暉,minguo
兮,0.04122078885382813,暉暉,minguo
音混,0.04117039095493664,暉暉,minguo
仙,0.041126922402814424,暉暉,minguo
靈宮,0.040404825622481134,暉暉,minguo
玄,0.040234590151991254,暉暉,minguo
題朝陽亭,0.039900342107025116,暉暉,minguo
境界,0.03964337260309892,暉暉,minguo
前,0.039489844040486353,暉暉,minguo
負笈,0.0394605366527136,暉暉,minguo
謂,0.03879013505751184,暉暉,minguo
之賓,0.038729114066087325,暉暉,minguo
墬,0.03863652506351924,暉暉,minguo
鍾,0.03796928221332422,暉暉,minguo
衣,0.037488942874697936,暉暉,minguo
沖,0.03711087907857622,暉暉,minguo
進止,0.036994200445703736,暉暉,minguo
悼望苑,0.03699178137651875,暉暉,minguo
日,0.0369222243959371,暉暉,minguo
猶如,0.036716636182085566,暉暉,minguo
阜青,0.036431015329123684,暉暉,minguo
奉宸,0.036231903198800125,暉暉,minguo
尋妙,0.03573202532010463,暉暉,minguo
有人,0.03533135940753656,暉暉,minguo
滿,0.03513536553000976,暉暉,minguo
碎,0.03502249335196416,暉暉,minguo
發發,0.034488614106070174,暉暉,minguo
中,0.03433449290434685,暉暉,minguo
亭亭,0.03433270145890414,暉暉,minguo
江魚,0.03385450558996152,暉暉,minguo
德共調,0.03378565237883293,暉暉,minguo
秋,0.033514006496711386,暉暉,minguo
振褐披,0.03308784522826644,暉暉,minguo
墜,0.03297422540560978,暉暉,minguo
生生,0.032621998618652594,暉暉,minguo
般泥,0.03231887758694302,暉暉,minguo
汝遠遠,0.03229250003163456,暉暉,minguo
正肥,0.031847948358207825,暉暉,minguo
空出,0.031090587793763936,暉暉,minguo
可,0.03073722857241032,暉暉,minguo
棲真處,0.030530018773245238,暉暉,minguo
鏁,0.030108024636686832,暉暉,minguo
清波,0.02992980213029043,暉暉,minguo
杳杳,0.029793764032797435,暉暉,minguo
曷,0.029107279878359347,暉暉,minguo
一切,0.028845840494235265,暉暉,minguo
無為,0.028761484841079828,暉暉,minguo
修行,0.028020967183131396,暉暉,minguo
泗,0.027878208733770577,暉暉,minguo
金,0.026347424187274416,暉暉,minguo
凜,0.02613934236329178,暉暉,minguo
弄,0.025904512887190458,暉暉,minguo
若,0.025132373135269503,暉暉,minguo
玩靈府,0.024395734744224965,暉暉,minguo
還望,0.023791494029922675,暉暉,minguo
來,0.023146106807426504,暉暉,minguo
陰尚,0.022912399698097757,暉暉,minguo
斂神,0.022609352890099445,暉暉,minguo
碩季,0.022346152162610447,暉暉,minguo
秋原,0.02227465419518399,暉暉,minguo
巖,0.021875036030110963,暉暉,minguo
高節,0.02138521176727437,暉暉,minguo
種好,0.020898244899658244,暉暉,minguo
承華而興,0.02053562807153576,暉暉,minguo
秋風起,0.02025141574147696,暉暉,minguo
玉,0.020161591311277687,暉暉,minguo
○,0.019483561104617835,暉暉,minguo
影兮下,0.019191428856223425,暉暉,minguo
晨,0.018797196353823042,暉暉,minguo
若蒙尊,0.01876250282108718,暉暉,minguo
由何,0.018477636355766446,暉暉,minguo
韻秋聲,0.01826146863923589,暉暉,minguo
暉,0.01826009305342105,暉暉,minguo
曜,0.017917838776991754,暉暉,minguo
。,0.017784930991037864,暉暉,minguo
光明,0.01749366755008447,暉暉,minguo
徑路,0.017163470489185123,暉暉,minguo
煒煒,0.016232717575497872,暉暉,minguo
雖,0.015828547787139807,暉暉,minguo
絃,0.015812962484274842,暉暉,minguo
歸,0.015809777544430956,暉暉,minguo
而,0.015706025982853533,暉暉,minguo
雲磯行,0.015648698470288543,暉暉,minguo
八十,0.015313311584321152,暉暉,minguo
皇帝,0.015289244277206624,暉暉,minguo
別廟,0.015090460332153463,暉暉,minguo
經法續現,0.015030140086198011,暉暉,minguo
洹,0.01459683426870086,暉暉,minguo
積雪,0.014170563166895946,暉暉,minguo
歷歲,0.013893525990502992,暉暉,minguo
紫金,0.013815701974352928,暉暉,minguo
畱,0.012796978911108132,暉暉,minguo
，,0.012573656928981044,暉暉,minguo
寒兮傲,0.011530999947253217,暉暉,minguo
起陟萬塗夕,0.01139959279560196,暉暉,minguo
仙人,0.011262555740651808,暉暉,minguo
宋,0.010611456703262573,暉暉,minguo
】,0.01058752590903444,暉暉,minguo
後,0.01047466567108791,暉暉,minguo
【,0.010369227408520892,暉暉,minguo
輿,0.010271962894924595,暉暉,minguo
＝,0.010204391903852122,暉暉,minguo
漢家,0.010071845032626555,暉暉,minguo
詣,0.009418078620680302,暉暉,minguo
摩,0.009198212351087877,暉暉,minguo
易名,0.00916728387244326,暉暉,minguo
玉耶惶怖,0.009083674001748603,暉暉,minguo
眄,0.008957899986442999,暉暉,minguo
冶為,0.00866990755190891,暉暉,minguo
王聞心,0.008663671563944386,暉暉,minguo
悚然,0.008663671563944375,暉暉,minguo
舉體,0.008663671563944375,暉暉,minguo
郞,0.00854816130504239,暉暉,minguo
色,0.008461342204377614,暉暉,minguo
竭國王,0.008367923986542701,暉暉,minguo
親友,0.008367923986542673,暉暉,minguo
光彩,0.008310966242512884,暉暉,minguo
谷,0.008161224126745584,暉暉,minguo
毛,0.00796908310099458,暉暉,minguo
三,0.007948176471063882,暉暉,minguo
員外,0.007865971456596559,暉暉,minguo
寧國,0.007679050588549707,暉暉,minguo
駕周,0.00740178569737982,暉暉,minguo
三十二,0.0072643245367568065,暉暉,minguo
屯田,0.007007746603439921,暉暉,minguo
之永矣,0.006995851194112996,暉暉,minguo
奉之得度,0.006914709469577046,暉暉,minguo
身紫,0.006803650933805478,暉暉,minguo
顯良生,0.006768044055303599,暉暉,minguo
金色,0.006705882157934492,暉暉,minguo
紫,0.006566834351720003,暉暉,minguo
是,0.0064578107034987285,暉暉,minguo
竪,0.0063919176868619965,暉暉,minguo
霜雪,0.006243655732565797,暉暉,minguo
入室,0.006108578381661071,暉暉,minguo
翼,0.006045957950273595,暉暉,minguo
軍節度,0.005996221988923531,暉暉,minguo
失無限,0.005878438095933211,暉暉,minguo
師誤,0.00587843809593321,暉暉,minguo
能,0.005745679510037372,暉暉,minguo
入,0.005741020057576426,暉暉,minguo
冀待,0.005690689178713935,暉暉,minguo
為,0.005635682213840764,暉暉,minguo
者,0.005518172187049588,暉暉,minguo
清開門,0.005491827499239791,暉暉,minguo
景物,0.005398829856733475,暉暉,minguo
相,0.005254946335636336,暉暉,minguo
建隆,0.005202120010740418,暉暉,minguo
吞,0.005169282387082464,暉暉,minguo
鼓,0.005131645168425422,暉暉,minguo
種,0.005097465329472666,暉暉,minguo
延客,0.005064801022466748,暉暉,minguo
佛無二,0.0050416881639088725,暉暉,minguo
宇宙,0.005039943612897691,暉暉,minguo
尚書,0.00494849019498686,暉暉,minguo
所,0.00494572648099024,暉暉,minguo
裏,0.004925945357052674,暉暉,minguo
？,0.004913092135861578,暉暉,minguo
一日,0.0049011357682076226,暉暉,minguo
趣,0.004882445401464011,暉暉,minguo
俱蓬,0.004821570241420452,暉暉,minguo
元年,0.004787757199620228,暉暉,minguo
之勝,0.00472195638306132,暉暉,minguo
每常敬待,0.004721956383061318,暉暉,minguo
幽深,0.004717550277192354,暉暉,minguo
快此,0.004693324210708681,暉暉,minguo
小師,0.004685291510193176,暉暉,minguo
牽曳,0.004681755664906345,暉暉,minguo
報佛言,0.004680701575253749,暉暉,minguo
善本,0.004680701575253735,暉暉,minguo
已下,0.004680701575253735,暉暉,minguo
俗表,0.004665396581025768,暉暉,minguo
駕言歸,0.004630885806758848,暉暉,minguo
仁善,0.004569753537996734,暉暉,minguo
我愚,0.0045697535379967185,暉暉,minguo
過失,0.004569753537996718,暉暉,minguo
改動,0.004569753537996702,暉暉,minguo
師曰,0.004566575645942918,暉暉,minguo
瀛,0.004528292460967662,暉暉,minguo
侵尋,0.004409689545384408,暉暉,minguo
塵,0.004369661570262704,暉暉,minguo
庚申,0.004281284261848383,暉暉,minguo
奔波,0.004269171272877749,暉暉,minguo
清涼寺,0.0042344382147009975,暉暉,minguo
第一,0.004119945909752943,暉暉,minguo
王,0.004057173464878453,暉暉,minguo
調達入,0.004033007251543474,暉暉,minguo
知見,0.004018267460167049,暉暉,minguo
星散,0.0040039045865999205,暉暉,minguo
一物,0.004001732493259359,暉暉,minguo
六,0.003988912596079657,暉暉,minguo
秀川輝,0.00397705756873852,暉暉,minguo
勝衣,0.0039609634339042585,暉暉,minguo
有佳致,0.0039585373495134085,暉暉,minguo
崿,0.0038893181747826507,暉暉,minguo
宿懷,0.003885607151000301,暉暉,minguo
三天,0.0038128509997708768,暉暉,minguo
忘,0.0037629762983596845,暉暉,minguo
音,0.0037188135056352156,暉暉,minguo
梵天,0.0037188135056351853,暉暉,minguo
梵宮,0.003718813505635183,暉暉,minguo
議言,0.003701779195351419,暉暉,minguo
獄品,0.0037004058728392904,暉暉,minguo
專,0.003644597233955403,暉暉,minguo
夫妻,0.003631367795090982,暉暉,minguo
就,0.003628531558796834,暉暉,minguo
職,0.003595227581282516,暉暉,minguo
秋露,0.003589598925183918,暉暉,minguo
肅肅,0.003571382733164312,暉暉,minguo
宋眞宗時,0.0035644998350463446,暉暉,minguo
頭大尾,0.0035453715418804965,暉暉,minguo
冠,0.003543088892072133,暉暉,minguo
佛有,0.0035165098950700148,暉暉,minguo
問為,0.0035158188092657104,暉暉,minguo
何須,0.003515818809265704,暉暉,minguo
罪科中,0.003515818809265701,暉暉,minguo
推官,0.00350850470389164,暉暉,minguo
阿難,0.0035040942319252187,暉暉,minguo
追,0.0034693257373452743,暉暉,minguo
心驚,0.003449798021966349,暉暉,minguo
先受,0.003414511224652044,暉暉,minguo
請止,0.0033913362307624482,暉暉,minguo
p.98,0.0033776088532188344,暉暉,minguo
二月,0.0033681729690221906,暉暉,minguo
小,0.0033480045116904065,暉暉,minguo
可匿匿,0.003344981295527705,暉暉,minguo
隱,0.003344981295527699,暉暉,minguo
許,0.003344159314623423,暉暉,minguo
飈,0.003331652980712878,暉暉,minguo
坌,0.0033292624615753066,暉暉,minguo
浮初,0.003323116757290156,暉暉,minguo
停息,0.003305098200281749,暉暉,minguo
體悉,0.0033005425744931385,暉暉,minguo
中賢,0.003281853889385578,暉暉,minguo
無地,0.0032725750718917684,暉暉,minguo
恒自起,0.003266701645921941,暉暉,minguo
有識,0.0032667016459219343,暉暉,minguo
山如,0.003266701645921934,暉暉,minguo
墮,0.0032667016459219317,暉暉,minguo
對口,0.0032439621234059365,暉暉,minguo
幕,0.0032102016464839404,暉暉,minguo
出離,0.003208540937324606,暉暉,minguo
乙酉,0.0031937503893429277,暉暉,minguo
佛與諸,0.003176743149835246,暉暉,minguo
飯食,0.0031767431498352454,暉暉,minguo
訖,0.0031767431498352233,暉暉,minguo
畢,0.003176743149835223,暉暉,minguo
攀,0.0031730466547860606,暉暉,minguo
臯,0.0031730013238210966,暉暉,minguo
真宗,0.0031675039447360553,暉暉,minguo
心清境,0.0031392243155052087,暉暉,minguo
紅焰,0.003137132856881773,暉暉,minguo
絕奇,0.0031331128414767502,暉暉,minguo
七六,0.0031025037220818973,暉暉,minguo
莖,0.003086189355785844,暉暉,minguo
完令民有,0.003076821181347329,暉暉,minguo
次次,0.003071569959504606,暉暉,minguo
問已,0.003048456298434322,暉暉,minguo
之,0.003038942992972314,暉暉,minguo
掬,0.0030372011648660134,暉暉,minguo
令身,0.003013409357323262,暉暉,minguo
墮調,0.00301340935732326,暉暉,minguo
達頭,0.0030134093573232494,暉暉,minguo
如塵,0.0030134093573232425,暉暉,minguo
為叢,0.0030013188072300113,暉暉,minguo
指,0.0029857263475035504,暉暉,minguo
相謂,0.002957523829285833,暉暉,minguo
第二集,0.0029556663445340233,暉暉,minguo
可以,0.0029522691490196933,暉暉,minguo
既,0.00294905099110303,暉暉,minguo
林表,0.002922413785811589,暉暉,minguo
竹賦,0.002902237938774217,暉暉,minguo
椎,0.002897838128751486,暉暉,minguo
錢忠,0.0028833165236406915,暉暉,minguo
雪霜,0.002870992048901437,暉暉,minguo
collocate,value,ideo,period
暉暉,0.24315327774749537,暉暉,qing
映,0.03793359792550019,暉暉,qing
寶氣,0.036023046260417045,暉暉,qing
銀橋望,0.03564905201462032,暉暉,qing
寒日,0.035557040608570144,暉暉,qing
祐,0.03554521109074569,暉暉,qing
千古,0.03541417925814546,暉暉,qing
下稻,0.03503067667660011,暉暉,qing
洄,0.03417694690559283,暉暉,qing
極竟,0.034156528579142593,暉暉,qing
堆,0.03348438166799677,暉暉,qing
常有,0.03279721608366865,暉暉,qing
以招,0.03273830133467361,暉暉,qing
軍繼,0.032679199571872174,暉暉,qing
之光,0.03253348132438489,暉暉,qing
不歸滅,0.03242890131176115,暉暉,qing
瀠,0.03208737747075542,暉暉,qing
進彥,0.03181581014871391,暉暉,qing
之天,0.03161034008607052,暉暉,qing
紫元,0.031504441791103704,暉暉,qing
賓序,0.031461119924089724,暉暉,qing
沒燕鴻下,0.03137798771607846,暉暉,qing
鬱鬱,0.03134347100106555,暉暉,qing
超大,0.031109419764170393,暉暉,qing
旅,0.031099873739403684,暉暉,qing
晨,0.030823810143340877,暉暉,qing
夲,0.03054903974547277,暉暉,qing
霓裳,0.03048868432630177,暉暉,qing
花盡,0.030327794093446877,暉暉,qing
條晴旭,0.03032779409344687,暉暉,qing
開案,0.030327794093446853,暉暉,qing
無濠涯,0.0302835536064302,暉暉,qing
授,0.0301299965675748,暉暉,qing
過松岡尋,0.030003264041214037,暉暉,qing
腳水,0.02999940693632139,暉暉,qing
秩秩,0.029995464293952966,暉暉,qing
遠映,0.02985444634793781,暉暉,qing
空中,0.029834476260587973,暉暉,qing
照,0.029564221594059345,暉暉,qing
舉黃旗,0.02955133315511842,暉暉,qing
果潰,0.029431140987384544,暉暉,qing
寂寂,0.029424837683217863,暉暉,qing
醻,0.02935693791288335,暉暉,qing
平楚,0.028974633302218576,暉暉,qing
極祚祚,0.028959550510067572,暉暉,qing
敗漢乾,0.028735724347480233,暉暉,qing
花,0.028735673853052243,暉暉,qing
光嗣首,0.028701175577795317,暉暉,qing
含,0.028603181223649517,暉暉,qing
如薄霧,0.028592792640723053,暉暉,qing
觀隱,0.028459168739706865,暉暉,qing
閉門,0.028456364678041652,暉暉,qing
