0,pinyin,mim simpl,mim trad,Glosnnummer,Functioneel,HIERARCHIE DINGEMANSE,Gloss meaning,Middle Chinese,MC tonen,Morf,zdic,Translation,Sem typ (corpus),Sem typ (dict),Fanqie zdic,AUTHOR ENGL,AUTHOR CHI,BORN,DIED,old birhplace,current place,other place (current),titel,POEM PLACE,Syntaxis,distichon/regel,vert Wang,Uitspraak distichon,pagina Wang,onderdeel 3TP,link,,,http://zh.wikisource.org/wiki/%E5%94%90%E8%A9%A9%E4%B8%89%E7%99%BE%E9%A6%96,,,,,,
182,cāngmáng,苍茫,蒼茫,136,PR,VISUAL,vast,*tsang~#mang,P~P,RHYME,1.广阔无边的样子。 2.模糊不清的样子。 3.犹匆忙。 ,1. Expansive looking. 2. Looking vague. 3. Like being in a hurry.,PHENO,PHENO,《唐韻》七岡切《正韻》千剛切，音倉 + 《唐韻》《廣韻》莫郞切《集韻》謨郞切，音忙,Wen Tingyun,溫庭筠,812,870,太原,祁縣,,利洲南渡,,7 34,澹然空水對斜暉，曲島蒼茫接翠微。,Over the limpid water reflect the slanting sun's rays; a winding isle merges in the vastness with the green hill.,Dànrán kōng shuǐ duì xiéhuī, qū dǎo cāngmáng jiē cuìwēi.,292,七言律诗,http://zh.wikisource.org/wiki/%E5%88%A9%E6%B4%B2%E5%8D%97%E6%B8%A1,,,,,,,,
90,cáocáo,嘈嘈,嘈嘈,67,AD,SOUND,noisy,#dzaw~dzaw,P~P,RED,1.形容众声嘈杂。2.犹吵吵。,1. Describes the chattering of many people. 2. Noisy.,PHONO,PHONO,《廣韻》昨勞切《集韻》財勞切，音曹,Bai Juyi,白居易,772,846,太原,太原市,新郑,琵琶行,,7 34,大絃嘈嘈如急雨，小絃切切如私語。,"Quite loud was the sound from the bigger strings, like a torrential rain beating something; while low was the sound from the finer strings, like two lovers between themselves whispering.",Dà xián cáo cáo rú jí yǔ, xiǎo xián qièqiè rú sīyǔ.,114,七言古诗,http://zh.wikisource.org/wiki/%E9%95%B7%E6%81%A8%E6%AD%8C,,,,,,,,
92,cáocáo,嘈嘈,嘈嘈,68,BG,SOUND,noisy,#dzaw~dzaw,P~P,RED,1.形容众声嘈杂。2.犹吵吵。,1. Describes the chattering of many people. 2. Noisy.,PHONO,PHONO,《廣韻》昨勞切《集韻》財勞切，音曹,Bai Juyi,白居易,772,846,太原,太原市,新郑,琵琶行,,7 12,嘈嘈切切錯雜彈，大珠小珠落玉盤。,"When her fingers on the strings made varied bounds, at intervals came the high or low sounds; as if bigger or smaller pearls precious, were droping onto the jade plate curious.",Cáo cáo qièqiè cuòzá dàn, dà zhū xiǎo zhū luò yù pán.,114,七言古诗,http://zh.wikisource.org/wiki/%E9%95%B7%E6%81%A8%E6%AD%8C,,,,,,,,
8,cècè,恻恻,惻惻,6,PR,INNER_FEELINGS,sad,#tsrhik~tsrhik,R~R,RED,1.悲痛；凄凉。 2.寒冷貌。3.恳切。,1. Sad, grieving. 2. Seeming cold. 3. Earnest.,PSYCHO,PHEPSY,《唐韻》《正韻》初力切《集韻》《韻會》察色切，音測,Du Fu,杜甫,712,770,襄陽,襄阳市,巩义市,夢李白之一,,5 45,死別已吞聲，生別常惻惻。,To part for ever often makes one cry; to part for a time also makes one sigh.,Sǐbié yǐ tūnshēng, shēng bié cháng cè cè.,10,五言古诗,http://zh.wikisource.org/wiki/%E5%A4%A2%E6%9D%8E%E7%99%BD_(%E6%AD%BB%E5%88%A5%E5%B7%B2%E5%90%9E%E8%81%B2),,,,,,,
143,cēncī,参差,參差,105,BG,MOVEMENT+EVALUATION,quick complex,*tsrhim~*tsrhje,P~P,ALLIT,1.不齐貌。2.纷纭繁杂。 3.蹉跎；错过。4.远离；阻隔。 5.差不多；几乎。 6.很快；顷刻。 7.不一致；矛盾。8.差池；差错。 9.古代乐器名。洞箫，即无底的排箫。亦名笙。相传为 舜 造，象凤翼参差不齐。,1. Seeming neat. 2. Diversely complex. 3. Wasted, missed. 4. Far away, separated by barriers. 5. Almost. 6. Very quick. 7. Contradictory. 8. Incorrect. 9. Ancient music instrument […].,PHENO,PHENO,《唐韻》《集韻》《韻會》《正韻》倉含切，音驂 + 《唐韻》《集韻》《韻會》初牙切《正韻》初加切，音杈,Li Shangyin,李商隱,813,858,河內,临洮县,鄭州,落花,,5 12,參差連曲陌，迢遞送斜暉。,They swirl pellmell and to tortuous paths swiftly run; as far as if they would see off the setting sun.,Cēncī lián qū mò, tiáo dìsòng xiéhuī.,230,五言律诗,http://zh.wikisource.org/wiki/%E8%90%BD%E8%8A%B1_(%E6%9D%8E%E5%95%86%E9%9A%B1),,,,,,
165,chàngwàng,怅望,悵望,122,PR,INNER_FEELINGS,melancholic,*trhjangH~mjangH,Q~Q,RHYME,惆怅地看望或想望。,Melancholically looking or desiring.,PHENO,PHENO,《唐韻》《集韻》《韻會》丑亮切，音暢 + 《唐韻》《正韻》巫放切《集韻》《韻會》無放切，音,Du Fu,杜甫,712,770,襄陽,襄阳市,巩义市,詠懷古跡之二,,7 12,悵望千秋一灑淚，蕭條異代不同時。,"Song Yu's use of the phrase ""sway and fall"" shows how deep is his sorrow; talented, graceful and learned, he serves as our model also.",Chàng wàng qiānqiū yī sǎlèi, xiāotiáo yì dài bùtóng shí.,264,七言律诗,http://zh.wikisource.org/wiki/%E8%A9%A0%E6%87%B7%E5%8F%A4%E8%B7%A1%E4%B9%8B%E4%BA%8C,,,,,,,,
148,chánjuān,婵娟,嬋娟,109,AD,VISUAL+EVALUATION,beautiful,#dzyen~#'jwen,P~P,RHYME,1.姿态美好貌。2.指美人。 3.形容花木秀美动人。4.指花木。 5.形容月色明媚。 6.指代明月或月光。7.轻盈飘舞貌。 8.犹婵媛。情思牵萦貌。 ,1. Appearing to have a beautiful attitude. 2. Beautiful woman. 3. Describes beautiful flowers that move people. 4. Flowers and trees. 5. Bright moon. 6. Moon(light). 7. Seeming to waver slightly. 8. Lovely, affectionate (woman).,PHENO,PHENO,《唐韻》市連切《集韻》《韻會》時連切，音禪 + 《廣韻》於緣切《集韻》《韻會》縈緣切《正韻》縈圓切，音蜎,Du Xunhe,杜荀鶴,846,904,石埭,石台县贡溪乡杜村,,春宮怨,,5 45,早被嬋娟誤，欲妝臨鏡慵。,Long have I troubled myself with my own beauty; to improve my looks at a glass I've got lazy.,Zǎo bèi chánjuān wù, yù zhuāng lín jìng yōng.,239,五言律诗,http://zh.wikisource.org/wiki/%E6%98%A5%E5%AE%AE%E6%80%A8,,,,,,,
96,cháozhā,嘲哳,嘲哳,70,AD,SOUND,ugly sound,#traew~#traet,P~P,ALLIT,1.形容乐器声或歌声嘈杂。2.形容鸟鸣声嘈杂。3.形容说话声音含糊不清。 ,1. Describes the different sounds of music instruments or singing. 2. Describes the chattering of birds. 3. Describes dim and vague chattering.,PHONO,PHONO,《唐韻》《集韻》《韻會》《正韻》陟交切，音 + 《廣韻》《集韻》《韻會》陟鎋切，音,Bai Juyi,白居易,772,846,太原,太原市,新郑,琵琶行,,7 34,豈無山歌與村笛，嘔啞嘲哳難為聽。,"There were of course songs by mountain songsters, or sometimes flutes played by idle villagers; but they were mostly grating to the ear, and therefore very displeasing to hear.",Qǐ wú shāngē yǔ cūn dí, ǒu yǎ cháo zhā nánwéi tīng.,114,七言古诗,http://zh.wikisource.org/wiki/%E9%95%B7%E6%81%A8%E6%AD%8C,,,,,,,,
35,chénchén,沉沉,沈沈,24,PR,VISUAL,vague,*drim~drim,P~P,RED,1.盛貌；茂盛貌。2.水深貌；雨大貌。3.形容深沉。 4.形容心事沉重。 5.形容物体沉重。 6.形容寂静无声或声音悠远隐约。 7.形容音信杳无。8.宫室深邃貌。,1. Seeming luscious. 2. Water appearing to be very deep, or rain to be plentiful. 3. Appearing deep. 4. Describes deep emotions. 5. Describes heavy objects. 6. Describes quiet or vaguely distant sounds. 7. Describes silence. 8. A palace seeming abstruse.,PHENO,PHENO,《唐韻》直深切《集韻》《韻會》《正韻》持林切，音霃。,Li Qi,李頎,690,751,赵郡,赵县市,登封,聽董大彈胡笳聲兼寄語弄房給事,,7 34,古戍蒼蒼烽火寒，大荒沈沈飛雪白。,"The ancient posts there are wild, and beacon fires cold grow; gloomy is the vast wasteland and flies the white snow.",Gǔ shù cāngcāng fēnghuǒ hán, dàhuāng chénchén fēi xuěbái.,58,七言古诗,http://zh.wikisource.org/wiki/%E8%81%BD%E8%91%A3%E5%A4%A7%E5%BD%88%E8%83%A1%E7%AC%B3%E8%81%B2%E5%85%BC%E5%AF%84%E8%AA%9E%E5%BC%84%E6%88%BF%E7%B5%A6%E4%BA%8B,,,,,,,
16,chéngchéng,澄澄,澄澄,12,AD,VISUAL,bright,*dring~dring,P~P,RED,清澈明洁貌。,Seeming clear and bright (watery),PHENO,PHENO, 《广韵》直陵切，平蒸，澄。又直庚切，平庚，澄。,Wang Changling,王昌齡,698,756,京兆,西安,太原,同從弟南齋翫月憶山陰崔少府,,5 12,苒苒幾盈虛，澄澄變今古。,"Endless time passes by as it waxes and wanes; The past's changed to the present, but chaste it remains.",Rǎn rǎn jǐ yíng xū, chéng chéng biàn jīn gǔ.,23,五言古诗,http://zh.wikisource.org/wiki/%E5%90%8C%E5%BE%9E%E5%BC%9F%E5%8D%97%E9%BD%8B%E7%BF%AB%E6%9C%88%E6%86%B6%E5%B1%B1%E9%99%B0%E5%B4%94%E5%B0%91%E5%BA%9C,,,,,,,,
11,chéngchéng,澄澄,澄澄,8,AD,VISUAL,clear water,*dring~dring,P~P,RED,清澈明洁貌。,Seeming clear and bright (watery),PHENO,PHENO, 《广韵》直陵切，平蒸，澄。又直庚切，平庚，澄。,Wang Wei,王維,699,759,祁县,祁县,永济市,青谿,,5 12,漾漾泛菱荇，澄澄映葭葦。,It undulates with floating waterweeds, and is clear in the reflection of reeds.,Yàng yàng fàn líng xìng, chéng chéng yìng jiā wěi.,16,五言古诗,http://zh.wikisource.org/wiki/%E9%9D%92%E8%B0%BF,,,,,,,
78,chíchí,迟迟,遲遲,57,BG,TIME,late,*drij~drij,P~P,RED, 1.徐行貌。2.阳光温暖、光线充足的样子。3.长远。4.长久。5.渐渐地；慢慢地。6.晚；延迟。7.舒缓，从容不迫的样子。8.眷念貌；依恋貌。9.迟疑。,1. Seeming to walk slowly. 2. Warm and full sunrays. 3. Far off. 4. Long lasting. 5. Gradually, slowly. 6. Late. 7. Seeming leisurely. 8. Appearing to be nostalgic and holding onto something. 9. Hesitating.,PHENO,PHENO,《唐韻》直尼切《集韻》《韻會》尼切《正韻》知切，音墀。,Bai Juyi,白居易,772,846,太原,太原市,新郑,長恨歌,,7 12,遲遲鐘鼓初長夜，耿耿星河欲曙天。,"Late sounded the bell and the drum, the night began long to come; very bright was the Milky Way, heralding the dawning of the day.",Chí chí zhōng gǔ chū chángyè, gěnggěng xīnghé yù shǔ tiān.,102,七言古诗,http://zh.wikisource.org/wiki/%E9%95%B7%E6%81%A8%E6%AD%8C,,,,,,,
33,chíchí,迟迟,遲遲,23,AD,TIME,long lasting,*drij~drij,P~P,RED, 1.徐行貌。2.阳光温暖、光线充足的样子。3.长远。4.长久。5.渐渐地；慢慢地。6.晚；延迟。7.舒缓，从容不迫的样子。8.眷念貌；依恋貌。9.迟疑。,1. Seeming to walk slowly. 2. Warm and full sunrays. 3. Far off. 4. Long lasting. 5. Gradually, slowly. 6. Late. 7. Seeming leisurely. 8. Appearing to be nostalgic and holding onto something. 9. Hesitating.,PHENO,PHENO,《唐韻》直尼切《集韻》《韻會》尼切《正韻》知切，音墀。,Meng Jiao,孟郊,751,814,武康,德清,,遊子吟,,5 34,臨行密密縫，意恐遲遲歸。,She sews with stitches close to each other; for fear he may about the world long roam.,Lín xíng mì mi fèng, yì kǒng chí chí guī.,51,乐府,http://zh.wikisource.org/wiki/%E9%81%8A%E5%AD%90%E5%90%9F_(%E5%AD%9F%E9%83%8A),,,,,,,
180,chóuchàng,惆怅,惆悵,135,PR,INNER_FEELINGS,frustration,#trhjuw~*trhjangH,P~Q,ALLIT,1.因失意或失望而伤感、懊恼。2.惊叹。 唐 杜甫 3.轻率。4.仓猝。,1. Sad, upset because of frustration or hesitation. 2. Amazing (Tang Du Fu). 3. Lightly. 4. Hastily.,PSYCHO,PSYCHO,《廣韻》《集韻》丑鳩切，音抽。 + 《唐韻》《集韻》《韻會》丑亮切，音暢,Li Shangyin,李商隱,813,858,河內,临洮县,鄭州,無題之二,,7 34,直道相思了無益，未妨惆悵是清狂。,Though she knows her lovesickness is nothing but a fancy; why not let disconsolations go on for being crazy!,Zhídào xiāng sī liǎo wú yì, wèi fáng chóuchàng shì qīng kuáng.,291,七言律诗,http://zh.wikisource.org/wiki/%E7%84%A1%E9%A1%8C_(%E9%87%8D%E5%B8%B7%E6%B7%B1%E4%B8%8B%E8%8E%AB%E6%84%81%E5%A0%82),,,,,,,
77,chóuchú,踌躇,躊躇,56,PR,MOVEMENT,hesitant,#drjuw~#drjo,P~P,ALLIT,1.踯躅，徘徊不进。2.犹豫，迟疑不决。3.研究，反复思量。4.从容自得。5.忐忑不安，极度痛心。 ,1. Wandering without end. 2. Hesitant. 3. Thought-through thinking. 4. Calm and contented. 5. Uneasy, extremely sad.,PHENO,PHENO,《廣韻》直由切《集韻》留切，音儔。 + 《集韻》《韻會》如切《正韻》長魚切，音除。,Bai Juyi,白居易,772,846,太原,太原市,新郑,長恨歌,,7 34,天旋日轉迴龍馭，到此躊躇不能去。,"At last came to pass a great turn: the Emperor was now to return; at the place where had died his love, he hesitated and could not move.",Tiān xuán rì zhuǎn huí lóng yù, dào cǐ chóuchú bùnéng qù.,102,七言古诗,http://zh.wikisource.org/wiki/%E9%95%B7%E6%81%A8%E6%AD%8C,,,,,,,
156,chóuchú,踌躇,躊躇,116,PR,INNER_FEELINGS,sad,#drjuw~#drjo,P~P,ALLIT,1.踯躅，徘徊不进。2.犹豫，迟疑不决。3.研究，反复思量。4.从容自得。5.忐忑不安，极度痛心。 ,1. Wandering without end. 2. Hesitant. 3. Thought-through thinking. 4. Calm and contented. 5. Uneasy, extremely sad.,PHENO,PHENO,《廣韻》直由切《集韻》留切，音儔。 + 《集韻》《韻會》如切《正韻》長魚切，音除。,Gao Shi,高適,716,765,渤海,景县,,送李少府貶峽中王少府貶長沙,,7 67,聖代即今多雨露，暫時分手莫躊躇。,"As His Majesty is always generous with favor; our parting must be temporary, so don't be cast down.",Shèngdài jíjīn duō yǔlù, zhànshí fēnshǒu mò chóuchú.,249,七言律诗,http://zh.wikisource.org/wiki/%E9%80%81%E6%9D%8E%E5%B0%91%E5%BA%9C%E8%B2%B6%E5%B3%BD%E4%B8%AD%E7%8E%8B%E5%B0%91%E5%BA%9C%E8%B2%B6%E9%95%B7%E6%B2%99,,,,,,,
64,chuàngrán,怆然,愴然,45,N,INNER_FEELINGS,sad,#tsrhjangH-*nyen,Q-P,RAN,悲伤貌。,Seeming sad.,PSYCHO,PSYCHO,《唐韻》初亮切《集韻》《韻會》楚亮切，音創。 + 《唐韻》《集韻》《類篇》《韻會》《正韻》如延切，音,Chen Zi'ang,陳子昂,661,702,射洪,射洪,,登幽州臺歌,,6 56,念天地之悠悠，獨愴然而涕下。,"The world will go on to the last; alone, I shed tears of torture!",Niàn tiāndì zhī yōuyōu, dú chuàng rán'ér tì xià.,89,七言古诗,http://zh.wikisource.org/wiki/%E7%99%BB%E5%B9%BD%E5%B7%9E%E8%87%BA%E6%AD%8C,,,,,,,,
3,cuìwēi,翠微,翠微,2,PR,VISUAL,misty,#tshwijH~*mej,Q-P,CON,1.指青翠掩映的山腰幽深处。2.泛指青山。3.形容山光水色青翠缥缈。,1. Refers to the verdant deeply hidden places in the mountainside. 2. Blue-green hills. 3. Describes landscapes of mountains and rivers covered in greenish mist.,PHENO,PHENO,《唐韻》七岡切《正韻》千剛切，音倉,Li Bai,李白,701,762,綿州,省江油市,托克马克,下終南山過斛斯山人宿置酒,,5 45,卻顧所來徑，蒼蒼橫翠微。,Looking back at the path we had just passed, We saw it crossed with verdure hazy and vast.,Què gù suǒ lái jìng, cāngcāng héng cuìwēi.,3,五言古诗,http://zh.wikisource.org/wiki/%E4%B8%8B%E7%B5%82%E5%8D%97%E5%B1%B1%E9%81%8E%E6%96%9B%E6%96%AF%E5%B1%B1%E4%BA%BA%E5%AE%BF%E7%BD%AE%E9%85%92,,,,,,,
183,cuìwēi,翠微,翠微,136,BG,VISUAL,green hill,#tshwijH~*mej,Q-P,CON,1.指青翠掩映的山腰幽深处。2.泛指青山。3.形容山光水色青翠缥缈。,1. Refers to the verdant deeply hidden places in the mountainside. 2. Blue-green hills. 3. Describes landscapes of mountains and rivers covered in greenish mist.,PHENO,PHENO,《廣韻》《集韻》《韻會》《正韻》七醉切，音綷。 + 《唐韻》《集韻》《韻會》《正韻》無非切，音薇。,Wen Tingyun,溫庭筠,812,870,太原,祁縣,,利洲南渡,,7 67,澹然空水對斜暉，曲島蒼茫接翠微。,Over the limpid water reflect the slanting sun's rays; a winding isle merges in the vastness with the green hill.,Dànrán kōng shuǐ duì xiéhuī, qū dǎo cāngmáng jiē cuìwēi.,292,七言律诗,http://zh.wikisource.org/wiki/%E5%88%A9%E6%B4%B2%E5%8D%97%E6%B8%A1,,,,,,,,
