NUMBER,TRAD,SIMPL,PINYIN,SEMANTIC,FORM-CHAR,Old-Chinese,FORM-MECH,TITLE,PoemGroup,LINE,TRANSLATION,ZDIC,RICCI,,,,,
8,板板,板板,bǎn bǎn,EVALUATION,AA,,REDUPLICATION,板,DaYa,上帝板板、下民卒癉。,God has reversed [His usual course of procedure], And the lower people are full of distress.,形容面部表情冷淡。二刻拍案驚奇．卷十四：「若說是有情，如何眉梢眼角，不見些些光景，只是恁等板板地？」,1. Aller contre les principes établis. Anormal; extravagant; excentrique; singulier; particulier. 2. Inflexible; rigide; entêté; opiniâtre; arrêté (dans ses façons de voir et d’agir). 3. (Visage) Figé; sérieux; sévère; mécontent; renfrogné.,,,,
9,伴奐,伴奂,bàn huàn,EVALUATION,AB,*C.[b]ˤanʔ [ɢ]ʷˤa[n]-s,RHYME,卷 阿,DaYa,伴奐爾游矣、優游爾休矣。,Full of spirits you ramble; Full of satisfaction you rest.,閒適、悠然自得的樣子。,,,,,,
10,傍傍,傍傍,bàng bàng,MOVEMENT,AA,,REDUPLICATION,北 山,XiaoYa,四牡彭彭、王事傍傍。,My four horses never halt; The king's business allows no rest.,no rest,,,,,,
11,薄薄,薄薄,báo báo,SOUND,AA,,REDUPLICATION,載 驅,GuoFeng,載驅薄薄、簟茀朱鞹。,She urges on her chariot rapidly, With its screen of bamboos woven in squares, and its vermilion coloured leather.,1.廣大的樣子。2.味道很淡。3.狀聲詞。形容車疾驅的聲音。,,,,
727,奔奔,奔奔,bēn bēn,MOVEMENT,AA,,REDUPLICATION,鶉 之 奔 奔,GuoFeng,鶉之奔奔、鵲之彊彊。,Boldly faithful in their pairings are quails; Vigorously so are magpies.,,,,,,,
728,奔奔,奔奔,bēn bēn,MOVEMENT,AA,,REDUPLICATION,鶉 之 奔 奔,GuoFeng,鵲之彊彊、鶉之奔奔。,Vigorously faithful in their pairings are magpies; Boldly so are quails.,,,,,,,
12,菶菶,菶菶,běng běng,VISUAL,AA,,REDUPLICATION,卷 阿,DaYa,菶菶萋萋、雝雝喈喈。,They grow luxuriantly; And harmoniously the notes resound.,草木茂盛的樣子。詩經．大雅．卷阿：「菶菶萋萋，雝雝喈喈。」,(Végétation) luxuriante; (feuillage) touffu; (fruits) abondants.,,,,,
13,怭怭,怭怭,bì bì,EVALUATION,AA,,REDUPLICATION,賓 之 初 筵,XiaoYa,曰既醉止、威儀怭怭。,But when they have drunk too much, Their deportment becomes indecent and rude:,傲慢無禮，喪失威儀。詩經．小雅．賓之初筵：「曰既醉止，威儀怭怭。」毛亨．傳：「怭怭，媟嫚也。」,Frivole; relâché; léger.,,,,
14,苾苾,苾苾,bì bì,SMELL,AA,,REDUPLICATION,信 南 山,XiaoYa,是烝是享、苾苾芬芬、祀事孔明。,"Then we present, then we offer; All round the fragrance is diffused. Complete and brilliant is the sacrificial service;",香氣濃郁。或作「飶飶」。詩經．小雅．信南山：「是蒸是享，苾苾芬芬，祀事孔明。」鄭玄．箋：「苾苾芬芬然，香祀禮於是則甚明也。」,Odoriférant; qui sent bon; odorant.,,,,,
15,觱發,觱发,bì fā,TEMPERATURE,AB,#pi[t] *pat,PARARHYME,七 月,GuoFeng,一之日觱發、二之日栗烈。,"In the days of [our] first month, the wind blows cold; In the days of [our] second, the air is cold;",風寒。,,,,,,
16,觱沸,觱沸,bì fèi,MOVEMENT+VISUAL,AB,#pi[t] *p[u][t]-s,PARARHYME,采 菽,XiaoYa,觱沸檻泉、言采其芹。,Right up bubbles the water from the spring, And they gather the cress [about it].,泉水湧出的樣子。,,,,,
17,觱沸,觱沸,bì fèi,MOVEMENT+VISUAL,AB,#pi[t] *p[u][t]-s,PARARHYME,瞻 卬,DaYa,觱沸檻泉、維其深矣。,Right from the spring comes the water bubbling, Revealing its depth.,泉水湧出的樣子。,,,,,
19,儦儦,儦儦,biāo biāo,MOVEMENT+VISUAL,AA,,REDUPLICATION,吉 日,XiaoYa,儦儦俟俟、或群或友。,Now rushing about, now waiting together, Here in threes, there in twos.,行人眾多的樣子。,,,
18,儦儦,儦儦,biāo biāo,MOVEMENT+VISUAL,AA,,REDUPLICATION,載 驅,GuoFeng,汶水滔滔、行人儦儦。,The waters of the Wen sweep on; The travellers are in crowds.,行人眾多的樣子。,,,,,,
20,瀌瀌,瀌瀌,biāo biāo,VISUAL,AA,,REDUPLICATION,角 弓,XiaoYa,雨雪瀌瀌、見晛曰消。,The snow may have fallen abundantly, But when it feels the sun's heat, it dissolves.,雨雪盛多的樣子。,,,,
21,鑣鑣,镳镳,biāo biāo,VISUAL,AA,,REDUPLICATION,碩 人,GuoFeng,四牡有驕、朱幩鑣鑣、翟茀以朝。,Strong looked her four horses, With the red ornaments so rich about their bits. Thus in her carriage, with its screens of pheasant feathers, she proceeded to our court.,盛多的樣子。,,,
766,怲怲,怲怲,bǐng bǐng,FEELING,AA,,REDUPLICATION,頍 弁,XiaoYa,未見君子、憂心怲怲。,While they do not see you, O king, Their hearts are full of sorrow.,憂慮的樣子。詩經．小雅．頍弁：「未見君子，憂心怲怲。」,,,,
22,番番,番番,bō bō,EVALUATION,AA,,REDUPLICATION,崧 高,DaYa,申伯番番、既入于謝、徒御嘽嘽。,Martial-like, the chief of Shen, Entered into Xie. His footmen and charioteers were numerous,,次次。元．關漢卿．陳母教子．第三折：「母親要打我，番番不曾靜扮。」元．無名氏．博望燒屯．第二折：「上的馬去，番番不濟，到的陣前，則是盹睡。」,Air martial.,,
23,采采,采采,cǎi cǎi,VISUAL,AA,,REDUPLICATION,蒹 葭,GuoFeng,蒹葭采采、白露未已。,The reeds and rushes are abundant, And the white dew is not yet ceased.,美好、繁盛的樣子。文選．禰衡．鸚鵡賦：「采采麗容，咬咬好音。」清．文廷式．賀新郎．別擬西州曲詞：「采采芙蓉愁日暮，又天涯芳草江南綠。」,1. (anc.) Abondant. 2. Aux belles couleurs. 3. (anc.) Toutes les affaires.,,,,
24,采采,采采,cǎi cǎi,VISUAL,AA,,REDUPLICATION,蜉 蝣,GuoFeng,蜉蝣之翼、采采衣服。,The wings of the ephemera, Are robes, variously adorned.,美好、繁盛的樣子。文選．禰衡．鸚鵡賦：「采采麗容，咬咬好音。」清．文廷式．賀新郎．別擬西州曲詞：「采采芙蓉愁日暮，又天涯芳草江南綠。」,1. (anc.) Abondant. 2. Aux belles couleurs. 3. (anc.) Toutes les affaires.,,,
761,粲粲,粲粲,càn càn,VISUAL,AA,,REDUPLICATION,大 東,XiaoYa,西人之子、粲粲衣服。,While the sons of the west, Shine in splendid dresses.,鮮明華美的樣子。詩經．小雅．大東：「西人之子，粲粲衣服。」,,,,,
748,摻摻,掺掺,càn càn,VISUAL+EVALUATION,AA,,REDUPLICATION,葛 屨,GuoFeng,摻摻女手、可以縫裳。,The delicate fingers of a bride, May be used in making clothes.,手纖細的樣子。詩經．魏風．葛屨：「摻摻女手，可以縫裳。」,,,,,
25,慘慘,惨惨,cǎn cǎn,FEELING,AA,,REDUPLICATION,正 月,XiaoYa,憂心慘慘、念國之為虐。,My sorrow heart is deeply pained, When I think of the oppression in the kingdom.,1. 憔悴的樣子。詩經．小雅．北山：「或不知叫號，或慘慘劬勞。」2. 憂戚的樣子。詩經．小雅．正月：「憂心慘慘，念國之為虐。」宋．蘇軾．送李公擇詩：「欲別不忍言，慘慘集百憂。」3. 昏暗的樣子。文選．王粲．登樓賦：「風蕭瑟而並興兮，天慘慘而無色。」唐．杜甫．發閬中詩：「江風蕭蕭雲拂地，山木慘慘天欲雨。」,"1. Accablé de soucis, de fatigues. 2. Affligé; malheureux. Obscur; sombre.",,,,
26,慘慘,惨惨,cǎn cǎn,FEELING,AA,,REDUPLICATION,北 山,XiaoYa,或不知叫號、或慘慘劬勞。,"Some never hear a sound, And some are cruelly toiled;",1. 憔悴的樣子。詩經．小雅．北山：「或不知叫號，或慘慘劬勞。」2. 憂戚的樣子。詩經．小雅．正月：「憂心慘慘，念國之為虐。」宋．蘇軾．送李公擇詩：「欲別不忍言，慘慘集百憂。」3. 昏暗的樣子。文選．王粲．登樓賦：「風蕭瑟而並興兮，天慘慘而無色。」唐．杜甫．發閬中詩：「江風蕭蕭雲拂地，山木慘慘天欲雨。」,"1. Accablé de soucis, de fatigues. 2. Affligé; malheureux. Obscur; sombre.",,,,,
27,慘慘,惨惨,cǎn cǎn,FEELING,AA,,REDUPLICATION,北 山,XiaoYa,或湛樂飲酒、或慘慘畏咎。,"Some indulge long in pleasure and drinking, And some are miserable, in apprehension of blame;",1. 憔悴的樣子。詩經．小雅．北山：「或不知叫號，或慘慘劬勞。」2. 憂戚的樣子。詩經．小雅．正月：「憂心慘慘，念國之為虐。」宋．蘇軾．送李公擇詩：「欲別不忍言，慘慘集百憂。」3. 昏暗的樣子。文選．王粲．登樓賦：「風蕭瑟而並興兮，天慘慘而無色。」唐．杜甫．發閬中詩：「江風蕭蕭雲拂地，山木慘慘天欲雨。」,"1. Accablé de soucis, de fatigues. 2. Affligé; malheureux. Obscur; sombre.",,,,,
28,慘慘,惨惨,cǎn cǎn,FEELING,AA,,REDUPLICATION,抑,DaYa,視爾夢夢、我心慘慘。,When I see you so dark and stupid, My heart is full of pain.,1. 憔悴的樣子。詩經．小雅．北山：「或不知叫號，或慘慘劬勞。」2. 憂戚的樣子。詩經．小雅．正月：「憂心慘慘，念國之為虐。」宋．蘇軾．送李公擇詩：「欲別不忍言，慘慘集百憂。」3. 昏暗的樣子。文選．王粲．登樓賦：「風蕭瑟而並興兮，天慘慘而無色。」唐．杜甫．發閬中詩：「江風蕭蕭雲拂地，山木慘慘天欲雨。」,"1. Accablé de soucis, de fatigues. 2. Affligé; malheureux. Obscur; sombre.",,,,
760,憯憯,憯憯,cǎn cǎn,FEELING,AA,,REDUPLICATION,雨 無 正,XiaoYa,曾我暬御、憯憯日瘁。,So that I, a [mere] groom of the chambers, Am full of grief and in pain daily., 古同“惨,,,,
29,鶬鶬,鶬鶬,cāng cāng,SOUND,AA,,REDUPLICATION,烈 祖,ShangSong,約軧錯衡、八鸞鶬鶬。,With the naves of their wheels bound with leather, and their ornamented yokes, With the eight bells at their horses' bits all tinkling,,tinkling,,,
30,蒼蒼,苍苍,cāngcāng,VISUAL,AA,,REDUPLICATION,蒹 葭,GuoFeng,蒹葭蒼蒼、白露為霜。,The reeds and rushes are deeply green, And the white dew is turned into hoarfrost.,1. 深青色。漢．馬第伯．封禪儀記：「仰視巖石松樹，鬱鬱蒼蒼，若在雲中。」唐．李朝威．柳毅傳：「大天蒼蒼兮，大地茫茫。」2. 茂盛的樣子。詩經．秦風．蒹葭：「蒹葭蒼蒼，白露為霜。」3. 斑白的樣子。唐．韓愈．祭十二郎文：「吾年未四十，而視茫茫，而髮蒼蒼。」唐．白居易．新樂府．賣炭翁：「滿面塵灰煙火色，兩鬢蒼蒼十指黑。」,1. Bleu foncé. 2. Vieux; vieilli. 3. Grisonnants (cheveux).,,,,
769,懆懆,懆懆,cǎo cǎo,FEELING,AA,,REDUPLICATION,白 華,XiaoYa,念子懆懆、視我邁邁。,All-sorrowful I think of him; He thinks of me without any regard.,憂愁不安的樣子。詩經．小雅．白華：「念子懆懆，視我邁邁。」明．張以寧．題韓氏十景卷詩：「白霽趙子詩句好，三年不見心懆懆。」,,,,,,
31,草草,草草,cǎocǎo,FEELING,AA,,REDUPLICATION,巷 伯,XiaoYa,驕人好好、勞人草草。,The proud are delighted, And the troubled are in sorrow.,1. 憂勞的樣子。2. 粗率、不認真、不細膩。3. 草木茂盛的樣子。4. 嘈雜吵嚷，騷動不安的樣子。,,,,,
32,畟畟,畟畟,cè cè,TACTILE,AA,,REDUPLICATION,良 耜,ZhouSong,畟畟良耜、俶載南畝。,Very sharp are the excellent shares, With which they set to work on the south-lying acres.,鋒利的樣子。,,,,,
33,參差,参差,cēncī,VISUAL,AB,*[tsʰr][u]m tsʰraj,ALLITERATION,關 雎,GuoFeng,參差荇菜、左右流之。,Here long, there short, is the duckweed, To the left, to the right, borne about by the current.,1. 雜亂不齊的樣子。2. 不一致、有問題。3. 大約、幾乎。,
34,參差,参差,cēncī,VISUAL,AB,*[tsʰr][u]m tsʰraj,ALLITERATION,關 雎,GuoFeng,參差荇菜、左右采之。,"Here long, there short, is the duckweed; On the left, on the right, we gather it.",1. 雜亂不齊的樣子。2. 不一致、有問題。3. 大約、幾乎。,,,,,,
35,參差,参差,cēncī,VISUAL,AB,*[tsʰr][u]m tsʰraj,ALLITERATION,關 雎,GuoFeng,參差荇菜、左右芼之。,"Here long, there short, is the duckweed; On the left, on the right, we cook and present it.",1. 雜亂不齊的樣子。2. 不一致、有問題。3. 大約、幾乎。,,,,,,
36,差池,差池,chāchí,VISUAL,AB,*tsʰraj *Cə.lraj,RHYME,燕 燕,GuoFeng,燕燕于飛、差池其羽。,The swallows go flying about, With their wings unevenly displayed.,參差不齊。,,,,,
37,嘽嘽,啴啴,chǎn chǎn,SOUND,AA,,REDUPLICATION,四 牡,XiaoYa,四牡騑騑、嘽嘽駱馬。,"My four steeds advanced without stopping; They panted and snorted, the white steeds black-maned.",sound of horse,,,,,,
38,嘽嘽,啴啴,chǎn chǎn,SOUND+VISUAL,AA,,REDUPLICATION,采 芑,XiaoYa,戎車嘽嘽、嘽嘽焞焞、如霆如雷。,Numerous were his war chariots, Numerous and in grand array, Like the clap or the roll of thunder their onset.,sound of many carts,,,,
39,嘽嘽,啴啴,chǎn chǎn,SOUND+VISUAL,AA,,REDUPLICATION,采 芑,XiaoYa,戎車嘽嘽、嘽嘽焞焞、如霆如雷。,Numerous were his war chariots, Numerous and in grand array, Like the clap or the roll of thunder their onset.,sound of many carts,,,,
41,嘽嘽,啴啴,chǎn chǎn,SOUND+VISUAL,AA,,REDUPLICATION,常 武,DaYa,王旅嘽嘽、如飛如翰、,"The royal legions were numerous; [Swift] as if they flew on wings,",sound of many troops,,,,,,
40,嘽嘽,啴啴,chǎn chǎn,SOUND+VISUAL,AA,,REDUPLICATION,崧 高,DaYa,申伯番番、既入于謝、徒御嘽嘽。,Martial-like, the chief of Shen, Entered into Xie. His footmen and charioteers were numerous,,sound of many troops,,,
42,幝幝,幝幝,chǎn chǎn,VISUAL,AA,,REDUPLICATION,杕 杜,XiaoYa,檀車幝幝、四牡痯痯、征夫不遠。,His chariot of sandal wood must be damaged; His four horses must be worn out; My soldier cannot be far off.,破敗的樣子。,,,,,,
43,裳裳,裳裳,cháng cháng,VISUAL,AA,,REDUPLICATION,裳 裳 者 華 ,XiaoYa,裳裳者華、其葉湑兮。,Splendid are the flowers, And the leaves are luxuriant.,光明盛美的樣子。詩經．小雅．裳裳者華：「裳裳者華，其葉湑兮。」,Splendide; épanoui (fleurs).,,,,
44,裳裳,裳裳,cháng cháng,VISUAL,AA,,REDUPLICATION,裳 裳 者 華 ,XiaoYa,裳裳者華、芸其黃矣。,Splendid are the flowers, And deep is their yellow.,光明盛美的樣子。詩經．小雅．裳裳者華：「裳裳者華，其葉湑兮。」,Splendide; épanoui (fleurs).,,,,
45,裳裳,裳裳,cháng cháng,VISUAL,AA,,REDUPLICATION,裳 裳 者 華 ,XiaoYa,裳裳者華、或黃或白。,Splendid are the flowers, Some yellow, some white.,光明盛美的樣子。詩經．小雅．裳裳者華：「裳裳者華，其葉湑兮。」,Splendide; épanoui (fleurs).,,,
46,遲遲,迟迟,chí chí,EVALUATION,AA,,REDUPLICATION,長 發,ShangSong,昭假遲遲、上帝是祗、,Brilliant was the influence of his character [on Heaven] for long,,1. 行走緩慢的樣子。詩經．邶風．谷風：「行道遲遲，中心有違。」2. 舒緩。詩經．豳風．七月：「春日遲遲，采繁祁祁。」3. 從容不迫的樣子。禮記．孔子閒居：「無聲之樂，氣志不違；無體之禮，威儀遲遲。」,1. Lentement; sans se presser; à loisir; à son aise. 2. Doux et lumineux. 3. Long; lointain. 4. Longtemps. 5. Petit à petit; peu à peu. 6. Tard.  7. s’attarder. Traîner. 8. Avec affection. Être attaché à.,,,,
47,遲遲,迟迟,chí chí,MOVEMENT,AA,,REDUPLICATION,谷 風,GuoFeng,行道遲遲、中心有違。,I go along the road slowly, slowly, In my inmost heart reluctant.,1. 行走緩慢的樣子。詩經．邶風．谷風：「行道遲遲，中心有違。」2. 舒緩。詩經．豳風．七月：「春日遲遲，采繁祁祁。」3. 從容不迫的樣子。禮記．孔子閒居：「無聲之樂，氣志不違；無體之禮，威儀遲遲。」,1. Lentement; sans se presser; à loisir; à son aise. 2. Doux et lumineux. 3. Long; lointain. 4. Longtemps. 5. Petit à petit; peu à peu. 6. Tard.  7. s’attarder. Traîner. 8. Avec affection. Être attaché à.,,,
48,遲遲,迟迟,chí chí,TIME,AA,,REDUPLICATION,七 月,GuoFeng,春日遲遲、采蘩祁祁。,As the spring days lengthen out, They gather in crowds the white southernwood.,1. 行走緩慢的樣子。詩經．邶風．谷風：「行道遲遲，中心有違。」2. 舒緩。詩經．豳風．七月：「春日遲遲，采繁祁祁。」3. 從容不迫的樣子。禮記．孔子閒居：「無聲之樂，氣志不違；無體之禮，威儀遲遲。」,1. Lentement; sans se presser; à loisir; à son aise. 2. Doux et lumineux. 3. Long; lointain. 4. Longtemps. 5. Petit à petit; peu à peu. 6. Tard.  7. s’attarder. Traîner. 8. Avec affection. Être attaché à.,,,,
49,遲遲,迟迟,chí chí,TIME,AA,,REDUPLICATION,出 車,XiaoYa,春日遲遲、卉木萋萋。,The spring-days are lengthening out; The plants and trees grow full of verdure;,1. 行走緩慢的樣子。詩經．邶風．谷風：「行道遲遲，中心有違。」2. 舒緩。詩經．豳風．七月：「春日遲遲，采繁祁祁。」3. 從容不迫的樣子。禮記．孔子閒居：「無聲之樂，氣志不違；無體之禮，威儀遲遲。」,1. Lentement; sans se presser; à loisir; à son aise. 2. Doux et lumineux. 3. Long; lointain. 4. Longtemps. 5. Petit à petit; peu à peu. 6. Tard.  7. s’attarder. Traîner. 8. Avec affection. Être attaché à.,,,,,
50,遲遲,迟迟,chí chí,TIME+EVALUATION,AA,,REDUPLICATION,采 薇,XiaoYa,行道遲遲、載渴載飢。,Long and tedious will be our marching; We shall hunger; we shall thirst.,1. 行走緩慢的樣子。詩經．邶風．谷風：「行道遲遲，中心有違。」2. 舒緩。詩經．豳風．七月：「春日遲遲，采繁祁祁。」3. 從容不迫的樣子。禮記．孔子閒居：「無聲之樂，氣志不違；無體之禮，威儀遲遲。」,1. Lentement; sans se presser; à loisir; à son aise. 2. Doux et lumineux. 3. Long; lointain. 4. Longtemps. 5. Petit à petit; peu à peu. 6. Tard.  7. s’attarder. Traîner. 8. Avec affection. Être attaché à.,,,,,
51,蚩蚩,蚩蚩,chī chī,VISUAL+EVALUATION,AA,,REDUPLICATION,氓,GuoFeng,氓之蚩蚩、抱布貿絲。,A simple-looking lad you were, Carrying cloth to exchange it for silk.,1. 敦厚老實的樣子。亦作「嗤嗤」。詩經．衛風．氓：「氓之蚩蚩，抱布貿絲。」2. 喧擾紛亂的樣子。亦作「嗤嗤」。漢．揚雄．法言．重黎：「六國蚩蚩，為嬴弱姬。」文選．劉孝標．廣絕交論：「天下蚩蚩，鳥驚雷駭。」,1. Simple et ignorant. 2. En désordre, trouble (p. ex. : un pays). 3. Onomat.,,,
52,踟躕,踟蹰,chíchú,FEELING,AA,,REDUPLICATION,靜 女,GuoFeng,愛而不見、搔首踟躕。,Loving and not seeing her, I scratch my head, and am in perplexity.,1. 徘徊不前的樣子。2. 相連接的樣子。(3. 一種古代接漏刻水的盛器。),,,,
53,馳驅,驰驱,chíqū,MOVEMENT,AA,,REDUPLICATION,板,DaYa,敬天之渝、無敢馳驅。,Revere the changing moods of Heaven, And presume not to drive about [at your pleasure].,1. 策馬疾馳。近奔走、驅馳。孟子．滕文公下：「吾為之範我馳驅，終日不獲一；為之詭遇，一朝而獲十。」2.比喻替人奔走效力。近奔走、驅馳。三國．蜀．諸葛亮．出師表：「三顧臣于草廬之中，諮臣以當世之事，由是感激，遂許先帝以馳驅。」3. 放肆恣意。詩經．大雅．板：「敬天之渝，無敢馳驅。」,1. Courir à cheval; galoper. 2. Aller en toute hâte. 3. Lâcher la bride à ses caprices.,,,,
54,蟲蟲,虫虫,chóng chóng,TEMPERATURE+EVALUATION,AA,,REDUPLICATION,雲 漢,DaYa,旱既大甚、蘊隆蟲蟲。,The drought is excessive; Its fervours become more and more tormenting.,1. 熱氣蒸人的樣子。2. 對心愛人的暱稱。,,,,,,
56,忡忡,忡忡,chōngchōng,FEELING,AA,,REDUPLICATION,出 車,XiaoYa,未見君子、憂心忡忡。,While we do not see our husbands, Our hearts must be full of grief.,1. 心憂的樣子。2. 飾物下垂的樣子。,,,,,
55,忡忡,忡忡,chōngchōng,FEELING,AA,,REDUPLICATION,草 蟲,GuoFeng,未見君子、憂心忡忡。,While I do not see my lord, My sorrowful heart is agitated.,1. 心憂的樣子。2. 飾物下垂的樣子。,,,,,
57,沖沖,冲冲,chōngchōng,SOUND,AA,,REDUPLICATION,七 月,GuoFeng,二之日鑿冰沖沖、三之日納于凌陰。,"In the days of [our] second month, they hew out the ice with harmonious blows; And in those of [our] third month, they convey it to the ice-houses,",1.飾物下垂的樣子。 2. 鑿冰的聲音。3. 情緒激昂、感情激動的樣子。,,,,,,
58,忡忡,忡忡,chōngchōng,VISUAL,AA,,REDUPLICATION,蓼 蕭,XiaoYa,既見君子、鞗革沖沖。,I have seen my noble men, With the ends of their reins hanging down,,1. 心憂的樣子。2. 飾物下垂的樣子。,,,,
59,仇仇,仇仇,chóu chóu,EVALUATION,AA,,REDUPLICATION,正 月,XiaoYa,執我仇仇、亦不我力。,[Now] they regard me with great animosity, And will not use my strength.,傲慢的樣子。詩經．小雅．正月：「執我仇仇，亦不我力。」,,,,,
