type,item,meaning,example
ideo,了鳥,1.懸物貌。 見 翟灝 《通俗編‧身體》。 引伸為顛倒， 不整齊。 ,《三國志‧魏志‧明帝紀》“分 襄陽郡 之 鄀葉縣 屬 義陽郡 ” 裴松之 注引《魏略》： “今陛下既尊群臣……而使穿方舉土， 面目垢黑， 沾體塗足， 衣冠了鳥， 毀國之光以崇無益， 甚非謂也。” 
Q,于,5.自適貌；舒徐貌。 見“ 于于 ”、“ 于然 ”。  ; 6.相屬貌。 見“ 于于 ”。  ,NA; NA
ideo,于于,1.自得貌。 ; 2.相屬貌。  ; 3.多難貌， 屈曲貌。  ,《莊子‧應帝王》： “ 泰氏 其臥徐徐， 其覺于于。” ;   元 蒲道源 《閑居記事》詩之一： “凌晨出求糴， 于于如櫛比。” ;   漢 揚雄 《太玄‧飾》： “白舌于于屈於根。” 
ideo,于思,1.多須貌。 一說白頭貌。 ,《左傳‧宣公二年》： “于思于思， 棄甲復來。” 
ideo,云云,1.周旋回轉貌。 ; 2.芸芸。 眾貌；盛貌。  ,《呂氏春秋‧圜道》： “雲氣西行， 云云然。” ; 《莊子‧在宥》： “萬物云云， 各復其根。” 
ideo,井井,1.潔凈不變貌。 ,《易‧井》： “往來井井。” 
Q,些,1.細小貌。 參見“ 些小 ”。  ,NA
Q,些兒,1.小貌。 ,  唐 呂岩 《三字訣》詩： “些兒法， 合大道。” 
ideo,交紛,2.眾多貌。,NA
Q,亭,9.為直立貌。  ; 12.通“ 渟 ”。 水靜止貌。 參見“ 亭居 ”。  ,  晉 戴逵 《竹林七賢論》： “ 戎 亭然不動。” ; NA
Q,亶,1.穀多貌。  ; 7.飛貌。 參見“ 亶翔 ”。  ,《詩‧小雅‧十月之交》： “擇三有事， 亶侯多藏。” ; NA
not,人才,3.人的容貌。  ,  宋 孫光憲 《北夢瑣言》卷十七： “ 楷 人才寢陋， 兼無德行。” 
not,人材,3.姿色；容貌。  ,  清 李漁 《閑情偶寄‧聲容》： “俗云： 三分人材， 七分粧飾。 此為中人以下者言之也。” 
not,人樣,2.特指人的外表相貌。  ,  趙樹理 《登記》： “老婆說： ‘人樣兒滿說得過去， 不過聽說她聲名不正！’” 張枚同 程琪 《拉駱駝的女人》一： “小夥子人樣兒精悍， 腦瓜子透靈。”
not,人物,8.指人的外貌。  ,  宋 孫光憲 《北夢瑣言》卷五： “ 盧 雖人物甚陋， 觀其文章有首尾， 斯人也， 以是卜之， 他日必為大用乎？” 
not,人相,1.人的相貌、形貌。 ,  唐 皮日休 《相解》： “今之相工， 言人相者， 必曰某相類龍……某至公侯。” 
ideo,介焉,1.細微貌。 介， 通“ 芥 ”。 ; 2.耿介孤高貌。  ,《列子‧楊朱》： “量十數年之中， 逌然而自得亡介焉之慮者， 亦亡一時之中爾。” ; 《晉書‧隱逸傳序》： “介焉超俗， 浩然養素。”
ideo,仍仍,1.悵惘失意貌。 ,《淮南子‧精神訓》： “今夫窮鄙之社也， 叩盆拊瓴， 相和而歌， 自以為樂矣。 嘗試為之擊建鼓， 撞巨鐘， 乃性仍仍然， 知其盆瓴之足羞也。” 
Q,仙,4.輕舉貌。 如： 飄飄欲仙。 參見“ 仙仙 ”。  ,NA
ideo,仙仙,1.輕盈貌。 輕舉貌。  ; 2.飄逸貌。  ,《詩‧小雅‧賓之初筵》： “舍其坐遷， 屢舞僊僊。” ;   清 杜濬 《長干阿育王塔》詩： “竦身思矯矯， 寄想亦仙仙。” 
not,仙姿,2.用以形容非凡的姿貌。  ,  宋 朱松 《答林康民見和梅花詩》： “仙姿不受凡眼汙， 風斂天香瘴煙裏。” 
ideo,仟眠,1.昏暗不明貌。 ; 2.草木叢生貌。  ,NA;   漢 王逸 《九思‧悼亂》： “菅蒯兮野莽， 雚葦兮仟眠。”
Q,仡,1.壯勇貌。  ,  三國 魏 何晏 《景福殿賦》： “華鍾杌其高懸， 悍獸仡以儷陳。” 
ideo,仡然,1.壯勇貌。 ; 2.屹然不動貌。  ,《公羊傳‧宣公六年》： “ 祁彌明 者， 國之力士也， 仡然從乎 趙盾 而入。” ;   南朝 宋 劉義慶 《世說新語‧栖逸》： “ 蘇門 山中忽有真人， 樵伐者咸共傳說…… 籍 （ 阮籍 ）登嶺就之， 箕踞相對， 籍 商略終古， 上陳 黃 、 農 玄寂之道， 下考三代盛德之美以問之， 仡然不應。” 
ideo,仿佛,1.似有若無貌；隱約貌。 ,《淮南子‧俶真訓》： “天含和而未降， 地懷氣而未揚， 虛無寂寞， 蕭條霄雿， 無有仿佛， 氣遂而大通冥冥者也。” 
ideo,仿像,1.隱約貌。 ,《文選‧木華＜海賦＞》： “且希世之所聞， 惡審其名？故可仿像其色， 靉靆其形。” 
Q,伉,3.高貌。  ,《詩‧大雅‧綿》： “迺立皋門， 皋門有伉。” 
ideo,伶仃,1.孤獨貌。  ,《文選‧李密＜陳情表＞》“零丁孤苦” 李善 注引舊題 漢 李陵 《贈蘇武》詩： “遠處天一隅， 苦困獨伶丁。” 
Q,伸,7.和樂貌。 參見“ 伸伸 ”。  ,NA
Q,佁,1.痴呆貌。  ; 2.引申為靜止貌。 參見“ 佁然 ”。  ; 2.深思貌。  ,《說文‧人部》： “佁， 癡貌。” ; II; 《管子‧侈靡》： “對曰： ‘得(德)之衰時， 位之觀之， 佁美然後有煇。 ’” 尹知章 注： “佁， 深思貌。 謂深得其美理， 然後情魂悅而貌煇然也。” 
not,位貌,1.官位和容貌。 ,《文選‧任昉＜為蕭揚州作薦士表＞》： “勢門上品， 猶當格以清談；英俊下僚， 不可限以位貌。” 
ideo,低低,2.輕曼、舒緩貌。  ,  元 《折桂令‧壽張德中時三月三日》曲： “整整杯盤， 低低歌舞。” 
Q,低眉,2.謙卑順服貌。  ; 3.抑鬱不伸貌；愁苦貌。  ,《抱樸子‧刺驕》： “低眉屈膝， 奉附權豪。” ;   唐 韓翃 《送鄭員外》詩： “要路眼青知己在， 不應窮巷久低眉。”
Q,低腰,1.彎腰。 卑屈貌。 ; 2.彎腰。 敬服貌。  ,  唐 白居易 《酬李少府曹長官舍見贈》詩： “低腰復斂手， 心體不遑安。” ;   唐 李洞《題尼大德院》詩： “雲鬟早歲斷金刀， 戒律曾持五百條……清淨高樓松檜寺， 世雄翻愧自低腰。”
Q,低頭,2.卑順貌；屈服貌。  ,《後漢書‧逸民傳‧梁鴻》： “居有頃， 妻曰： ‘常聞夫子欲隱居避患， 今何為默默？無乃欲低頭就之乎？’” 
Q,低顏,1.猶低頭。 頹喪貌。 ; 2.猶低頭。 謙遜貌；恭順貌。  ; 3.猶低頭。 阿諛奉承貌。  ,  五代 劉兼 《晚樓寓懷》詩： “ 劉毅 暫貧雖壯志， 馮唐 將老自低顏。 無言獨對秋風立， 擬把朝簪換釣竿。” ;   唐 杜甫 《上水遣懷》詩： “低顏下邑地， 故人知善誘。” ;   清 唐孫華 《狎客》詩： “或時事僮隸， 低顏結歡欣。”
Q,低首,1.低頭。 恭順貌。 ; 2.低頭。 羞愧貌。  ; 3.低頭。 折服貌。  ,《史記‧平準書》： “而富商大賈或蹛財役貧， 轉轂百數， 廢居居邑， 封君皆低首仰給。” ;   明 張萱 《疑耀‧三十六奉朝請》： “ 陶宏景 與從兄書： 仕宦四十左右， 作尚書郎……余今將五十矣， 始作尚書郎， 仰望古人， 殊為低首。” ;   清 袁枚 《隨園詩話》卷五十： “有婦人女子， 村氓淺學， 偶有一二句， 雖 李 、 杜 復生， 必為低首者。” 
Q,佚,11.迅疾貌。  ,NA
Q,佶,1.壯健貌。  ,《詩‧小雅‧六月》： “四牡既佶， 既佶且閑。” 
ideo,佶栗,1.聳動貌。 ; 2.戰栗貌。  ,NA;   唐 陸龜蒙 《奉和襲美太湖詩‧初入太湖》： “耳目駭鴻濛， 精神寒佶栗。” 
Q,侁,1.行貌。  ; 2.眾多貌。 參見“ 侁侁 ”。  ,《說文‧人部》： “侁， 行貌。”參見“ 侁侁 ”。  ; NA
Q,侃,2.和樂貌。  ,《漢書‧韋賢傳》： “我雖鄙耇， 心其好而， 我徒侃爾， 樂亦在而。” 
ideo,侃然,1.剛直貌。 ; 2.和樂貌。  ,《後漢書‧獨行傳‧向栩》： “徵拜侍中， 每朝廷大事， 侃然正色， 有官憚之。” ; 《三國志‧吳志‧虞翻傳》“雖處罪放， 而講學不倦” 裴松之 注引《虞翻別傳》： “仰觀巍巍眾民之謠， 傍聽鍾鼓侃然之樂。” 
ideo,侃爾,1.剛直貌。 ; 2.和樂貌。  ,  清 錢謙益 《詹事府少詹事孫承宗授中憲大夫制》： “嶷然山立， 羽儀茂著於殿庭；侃爾昌言， 獻納發皇其閫奧。” ;   漢 韋孟 《在鄒詩》： “我雖鄙耇， 心其好而， 我徒侃爾， 樂亦在而。”
ideo,侈哆,1.口大張貌。 語本《詩‧小雅‧巷伯》： “哆兮侈兮， 成是南箕。”,  清 許纘曾 《睢陽行》： “祝史乘機壟斷張， 阿母新來口侈哆。”因以謂讒言中傷。  
ideo,侈然,1.驕縱貌；自大貌。 ; 2.誇誕貌。  ,《東周列國志》第一回： “ 齊侯 勇悍殘忍， 嗣守大國， 侈然有圖伯之心。” ;   清 俞正燮 《癸巳類稿‧左山考》： “ 左山 下多 左 姓， 故名。 其時 左 姓人亦無言 邱明 者。  
Q,依,10.茂盛貌。  ,《詩‧小雅‧車舝》： “依彼平林， 有集維鷮。” 
ideo,依微,1.隱約， 不清晰貌。 ,  南朝 宋 謝靈運 《江妃賦》： “建羽旌而逶迤， 奏清管之依微。” 
ideo,侵侵,1.稠密交迭貌。 ; 2.頻繁貌。  ,  唐 李賀 《高平縣東私路》詩： “侵侵槲葉香， 木花滯寒雨。” ;   唐 柳宗元 《愚溪對》： “唯觸罪擯辱、愚陋黜伏者， 日侵侵以遊汝， 闖闖以守汝。 汝欲為智乎？” 
ideo,便娟,1.輕盈美好貌。 ; 2.回旋飛舞貌。  ,《楚辭‧大招》： “豐肉微骨， 體便娟只。” ;   南朝 宋 謝靈運 《雪賦》： “初便娟於墀廡， 末縈盈於帷席。”
ideo,便嬛,1.輕盈美好貌。 ,  漢 司馬相如 《上林賦》： “若夫 青琴 宓妃 之徒……靚粧刻飾， 便嬛綽約。” 
ideo,促促,4.拘謹小心貌。  ; 5.勞苦不安貌。  ,  唐 韓愈 《唐故河南令張君墓志銘》： “諸曹白事， 不敢平面視。 共食公堂， 抑首促促就哺歠。” ;   唐 李益 《促促曲》： “促促何促促， 黃河 九回曲。 嫁與棹船郎， 空床將影宿。” 
Q,俙,1.感動貌。 參見“ 俙然 ”。  ,NA
ideo,俛然,1.切近貌。 ; 2.衰頹貌。  ,《荀子‧正名》： “君子之言， 涉然而精， 俛然而類， 差差然而齊。” ;   嚴復 《原強》： “此吾前者所以言四千年文物俛然有不終日之勢者， 固以此也。”
ideo,俜停,1.姿態美好貌。 ,  宋 蘇軾 《芙蓉城》詩： “珠簾玉案翡翠屏， 雲舒霞捲千俜停。” 
Q,信眉,1.揚眉自得貌。 信， 通“ 伸 ”。 ; 2.形容屈抑得申， 快意舒暢貌。  ,《漢書‧司馬遷傳》： “今已虧形為埽除之隸， 在闒茸之中， 乃欲卬首信眉， 論列是非， 不亦輕朝廷， 羞當世之士邪！” 顏師古 注： “信讀曰伸。” ;   宋 蘇軾 《與廣西憲曹司勛書》： “乞載祀典， 使此侯英魂少信眉於地中， 如何如何？”
ideo,修修,1.鳥羽尾疲敝貌。 ; 2.謹飭貌。  ; 3.修長美好貌。  ,  清 方文 《送侯赤社北歸》詩： “因風止江介， 毛羽何修修。 顧念平生巢， 摧穨委荒丘。”參見“ 脩脩 ”。  ;   清 吳定 《祭何生文》： “自子來游， 於今三歲， 炤炤修修， 高志敏事。” ;   唐 杜甫 《晦日尋崔戢李封》詩： “ 李生 園欲荒， 舊竹頗修修。” 
ideo,修然,1.整飭貌；嚴正貌。 ; 3.長貌。  ,《荀子‧修身》： “見善， 修然必以自存也： 見不善， 愀然必以自省也。” ;   清 蒲松齡 《聊齋志异‧董生》： “戲探下體， 則毛尾修然。”
Q,倀,1.無所適從貌。  ,  宋 岳珂 《桯史‧張元吳昊》： “ 景祐 末， 有二狂生曰 張 曰 吳 ……放意詩酒， 語皆絕豪嶮驚人， 而邊帥豢安， 皆莫之知。 倀無所適， 聞 夏 酋有意窺中國， 遂叛而往。”參見“ 倀倀 ”。  
Q,倏,1.犬疾行貌。 引申為疾速， 忽然。  ,  段 注本《說文‧犬部》： “倏， 犬走疾也。” 
ideo,倏倏,1.光彩鮮明貌。 ,《廣雅‧釋訓》： “倏倏， 光也。”參見“ 儵儵 ”。  
ideo,倏然,1.迅疾貌。 ,  晉 干寶 《搜神記》卷十八： “﹝青衣小兒﹞乃發聲而泣， 倏然不見。” 
ideo,倏閃,2.閃爍不定貌。  ,  唐 元稹 《秋堂夕》詩： “蕭條簾外雨， 倏閃案前燈。” 
Q,倔,3.特起貌。 參見“ 倔起 ”。  ,NA
Q,倖,7.不顧而去貌。  ,  宋 蘇舜欽 《答杜公書》： “日月可惜， 功名易隳， 處雖為難， 退亦未易。 今雖能倖然引去， 無補於時， 亦安足以為嘉事！” 
ideo,倘然,1.驚疑貌。 ; 2.悠閑貌；自然貌。  ,《莊子‧在宥》： “ 雲將 東遊， 過扶搖之枝而適遭 鴻蒙 。  ;   唐 司空圖 《二十四詩品‧疏野》： “倘然適意， 豈必有為， 若其天放， 如是得之。” 
Q,倜,3.遠貌。 參見“ 倜倜 ”。  ,NA
Q,倡,3.通“ 猖 ”。 狂亂貌。  ,  吳恭亨 《諸將》詩之二： “萬馬亂行敵倡走， 一軍盡墨帝無言。”參見“ 倡狂 ”、“ 倡獗 ”。  
ideo,倡佯,3.自在縱情貌。  ,  唐 張鷟 《游仙窟》： “生前有日但為樂， 死後無春更著人。 祇可倡佯一生意， 何須負持百年身？”
ideo,倨倨,1.無思慮貌。 ,《淮南子‧覽冥訓》： “當此之時， 臥倨倨， 興眄眄， 一自以為馬， 一自以為牛。” 
Q,倩,1.笑靨美好貌。  ,《詩‧衛風‧碩人》： “巧笑倩兮。” 
ideo,偃亞,1.覆壓下垂貌。 ,  唐 白居易 《司馬廳獨宿》詩： “荒涼滿庭草， 偃亞侵簷竹。” 
ideo,偃偃,1.彎曲貌。 ; 2.輕拂貌。  ,  宋 范仲淹 《泰州張侯祠堂頌》： “盤盤偃偃， 百里而遠， 雲矗不散， 山亙不斷。” ;   宋 姜夔 《越九歌‧王禹吳調》： “王旆返， 風偃偃， 山鳥呼， 觚棱晚。”
ideo,偃然,1.安息貌。 ; 2.驕傲自得貌。  ,《莊子‧至樂》： “人且偃然寢於巨室， 而我噭噭然隨而哭之， 自以為不通乎命， 故止也。” ; 《新唐書‧突厥傳上》： “至則 車鼻 偃然無入朝意， 華 謀與 葛邏祿 共劫之。” 
Q,偆,1.喜樂貌。  ,《集韻‧上準》： “偆， 《說文》富也。 一曰喜樂貌。”參見“ 偆偆 ”。  
Q,偈,1.勇武貌。  ; 2.疾馳貌。  ,《玉篇‧人部》“偈”： “武貌。  ; 《詩‧檜風‧匪風》： “匪車偈兮。” 
ideo,偈偈,1.急馳貌。 ; 2.用力貌。  ,《詩‧檜風‧匪風》“匪車偈兮” 毛 傳： “偈偈， 疾驅， 非有道之車。” ; 《莊子‧天道》： “又何偈偈乎揭仁義， 若擊鼓而求亡子焉？”
ideo,偊偊,1.踽踽。 獨行貌。 ; 2.謹慎貌。  ,《列子‧力命》： “汝奚往而反， 偊偊而步， 有深愧之色邪？” ; 《列子‧楊朱》： “遑遑爾競一時之虛譽， 規死後之餘榮；偊偊爾慎耳目之觀聽， 惜身意之是非。”
Q,偗,1.直貌。  ; 2.長貌。,NA; NA
ideo,停停,1.聳立貌；高貌。 停， 通“ 亭 ”。 ,《關尹子‧八籌》： “草木俄茁茁， 俄停停， 俄蕭蕭。” 
ideo,側側,1.多貌。 ; 2.寒貌。  ,《逸周書‧大聚》： “天民側側， 予知其極有宜。” ;   唐 韓偓 《寒食夜》詩： “側側輕寒翦翦風， 杏花飄雪小桃紅。” 
ideo,側匿,1.縮縮行遲貌。 古天文謂朔日而月亮見於東方。 ,《尚書大傳》卷三： “朔而月見東方謂之側匿。” 
ideo,傀俄,1.傾頹貌。 ; 2.魁偉貌。  ,  南朝 宋 劉義慶 《世說新語‧容止》： “ 嵇叔夜 之為人也， 巖巖若孤松之獨立。 其醉也， 傀俄若玉山之將崩。” ;   清 錢謙益 《尹長思哀辭序》： “ 方 傀俄好食酒， 李 澹宕善畫， 長思 溫潤而栗， 從容獻酬。”
ideo,傀然,1.獨立貌。 傀， 通“ 塊 ”。 ; 2.魁梧貌。  ,《荀子‧性惡》： “天下不知之， 則傀然獨立天地之間而不畏， 是上勇也。” ;   清 蒲松齡 《聊齋志异‧司文郎》： “有少年遊寺中， 白服裙帽， 望之傀然。”
ideo,傍行,1.步履傾側不正貌。 ,《南史‧劉景素傳》： “ 景素 性甚仁孝， 事 獻太妃 ， 朝夕不違侍養。 太妃有不安， 景素 傍行蓬髮。 與人言呴呴， 常恐傷其情。” 
Q,傑,5.用力貌。 參見“ 傑然 ”。  ,NA
ideo,傑然,1.用力貌。 ; 2.特出不凡貌。  ; 3.高聳雄偉貌。  ,《莊子‧天運》： “吾子亦放風而動， 總德而立矣；又奚傑然若負建鼓而求亡子者邪？” 成玄英 疏： “傑然， 用力貌。” ; 《後漢書‧第五種傳》： “伏見故 兗州 刺史 第五種 ， 傑然自建。” ;   宋 蘇舜欽 《東京寶相禪院新建大悲殿記》： “京城之西南， 有佛廟曰 寶相院 ， 中有層閣， 傑然以庇大像。” 
ideo,傖儜,1.雜亂貌。 ; 2.粗野貌；粗惡貌。  ,  唐 劉禹錫 《＜竹枝詞＞序》： “歲正月， 余來 建平 ， 里中兒聯歌《竹枝》， 吹短笛， 擊鼓以赴節……卒章激訐如 吳 聲， 雖傖儜不可分， 而含思宛轉， 有 淇 、 澳 之豔。” ;   唐 劉禹錫 《祭興元李司空文》： “夷風傖儜， 獷俗悍害。” 
not,傛,1.同“ 容 ”。 容貌。 參見“ 傛華 ”。  ,NA
Q,傞,1.舞不止貌。  ,  宋 歐陽修 《思二亭送光祿謝寺丞歸滁陽》詩： “石泉咽然鳴， 野豔笑而傞。” 
Q,傱,1.行貌。  ,《文選‧揚雄〈羽獵賦〉》： “萃傱沇溶。” 
ideo,傱傱,1.疾進貌。 ; 2.眾多貌。  ,《漢書‧揚雄傳》： “風傱傱而扶轄兮， 鸞鳳紛其御蕤。” ; 《漢書‧禮樂志》： “神之行， 旌容容， 騎沓沓， 般傱傱。” 
ideo,傲然,1.高傲貌。 ; 2.堅不可屈貌。  ,《晏子春秋‧諫下十五》： “﹝ 齊景公 ﹞帶球玉而冠且， 被髮亂首， 南面而立傲然。” ;   陶鑄 《松樹的風格》： “去年冬天， 我從 英德 到 連縣 去， 沿途看到松樹鬱鬱蒼蒼， 生氣勃勃， 傲然屹立。” 
not,傳真,1.畫家摹寫人物形貌。 ,  唐 杜荀鶴 《八駿圖》詩： “丹雘傳真未得真， 那知筋骨與精神。” 
ideo,傴僂,2.恭敬貌。  ,  漢 賈誼 《新書‧官人》： “柔色傴僂， 唯諛之行， 唯言之聽， 以睚眥之間事君者， 廝役也。” 
ideo,僉然,1.和諧貌。 ,《大戴禮記‧四代》： “﹝子曰﹞： 抽然， 首然， 僉然， 湛然。” 
Q,僛,1.搖曳傾側貌。 參見“ 僛僛 ”。  ,NA
Q,僩,1.勇猛貌。  ,《詩‧衛風‧淇奧》： “瑟兮僩兮， 赫兮咺兮。”一說， 僩， 寬大貌。 參閱 毛 傳。  
ideo,僾然,1.仿佛， 隱約貌。 ; 2.含蓄貌。,《禮記‧祭義》： “祭之日， 入室， 僾然必有見乎其位。” ; NA
not,儀形,2.謂畫其形貌。  ,《文選‧左思＜魏都賦＞》： “丹青炳煥， 特有 溫室 ， 儀形宇宙， 歷象聖賢。” 
ideo,儗儗,1.茂盛貌。 ; 2.眾多貌。  ; 1.遲疑貌。 ; 2.凝滯貌。  ,《漢書‧食貨志上》： “故其詩曰： ‘或芸或芓， 黍稷儗儗。 ’芸， 除草也；芓， 附根也。 言苗稍壯， 每耨輒附根， 比盛暑， 隴盡而根深， 能風與旱， 故儗儗而盛也。” ;   唐 王光庭 《奉和聖制送張說巡邊》詩： “虎貔紛儗儗， 河 洛 振熊熊。” ;   唐 柳宗元 《夢歸賦》： “若有鉥余以往路兮， 馭儗儗以回復。” ;   瞿秋白 《赤都心史》三： “清霜薄日的早晨， 凍得儗儗的雲色， 映着半新不舊的赤旗。”
ideo,優容,2.安閑自得貌。  ,《太平廣記》卷二五二引《抒情詩‧李曜》： “ 吳 答曰： ‘曳履優容日日歡， 須言達德倍汍瀾。 ’”
ideo,優然,2.寬裕貌。  ,  清 惲敬 《吳城萬壽宮碑銘》： “道久者業久， 故優然而裕， 綿然而不窮。”
Q,優簡,1.寬大舒展貌。 ,《淮南子‧時則訓》： “優優簡簡， 百怨不起。” 
ideo,儱侗,2.直貌。  ,《五燈會元‧烏巨行禪師法嗣‧薦福休禪師》： “瓠子曲彎彎， 冬瓜直儱侗。” 
ideo,儱偅,1.行不正貌。 ; 2.不遇貌。  ,《玉篇‧人部》： “儱偅， 行不正也。” ; 《廣韻‧去用》： “儱偅， 不遇貌。”
Q,儳,4.輕賤貌。 參見“ 儳焉 ”、“ 儳然 ”、“ 儳婦 ”。  ,NA
ideo,儳焉,1.輕賤貌；不莊重貌。 ; 2.引申為放縱恣肆貌。  ; 3.不安寧貌。  ,《禮記‧表記》： “子曰： ‘君子莊敬日強， 安肆日偷。 君子不以一日使其躬儳焉， 如不終日。 ’” 鄭玄 注： “儳焉， 可輕賤之貌也。” ;   清 薛福成 《籌洋芻議‧鄰交》： “然 日本 相侵之志危矣迫矣， 儳焉不可終日矣。” ;   唐 韓愈 《上考功崔虞部書》： “欲事干謁， 則患不能小書， 困於投刺；欲學為佞， 則患言訥詞直， 卒事不成， 徒使其躬儳焉而不終日。” 
ideo,儵儵,1.憂思貌。 ; 2.悠游自得貌。  ,《爾雅‧釋訓》： “儵儵嘒嘒， 罹禍毒也。” ;   漢 劉向 《列女傳‧齊管妾婧》： “古有《白水》之詩。 詩不云乎： ‘浩浩白水， 儵儵之魚。 君來召我， 我將安居？’”
ideo,儵煜,1.閃耀貌。 ; 2.光彩鮮明貌。  ,《魏書‧術藝傳‧張淵》： “熊、羆綿絡于天際， 虎、豹儵煜而暉爛。”原注： “虎、豹、熊、羆四星在狼星傍。” ;   三國 魏 阮籍 《清思賦》： “服儵煜以繽紛兮， 綷眾采以相綏。”
ideo,儵爚,1.疾閃貌。 ; 2.光彩鮮明貌。  ,《文選‧班固＜西都賦＞》“震震爚爚， 雷奔電激” 李善 注引 晉 李彤 《字指》： “儵爚， 電光也。” ; 《文選‧張衡＜西京賦＞》： “璿弁玉纓， 遺光儵爚。” 
Q,儻,1.悵然自失貌。  ,《莊子‧天地》： “怊乎若嬰兒之失其母也， 儻乎若行而失其道也。” 
ideo,儻然,1.悵然自失貌。 ; 2.漠然， 無思慮貌。  ; 3.恍忽貌。  ,《莊子‧田子方》： “ 子方 出， 文侯 儻然終日不言。” ; 《莊子‧天地》： “雖以天下譽之， 得其所謂， 謷然不顧；以天下非之， 失其所謂， 儻然不受。” ;   明 張煌言 《贈陳文生侍郎返命閩嶠》詩之一： “倡予還和汝， 天夢儻然醒。” 
ideo,儻莽,1.曠遠貌。 ; 2.暗昧不明貌。  ; 3.茫然自失貌。  ,《文選‧王褒＜洞簫賦＞》： “彌望儻莽， 聯延曠盪， 又足樂乎， 其敞閑也。” ;   三國 魏 阮籍 《清思賦》： “時儻莽而陰曀兮， 忽不識乎舊宇。” ; 《莊子‧天地》“怊乎若嬰兒之失其母也， 儻乎若行而失其道也” 唐 成玄英 疏： “夫嬰兒失母， 心怊悵而無所依；行李迷途， 神儻莽而無所據。”
Q,儼,4.整齊貌。  ,  三國 魏 曹植 《洛神賦》： “六龍儼其齊首， 載雲車之容裔。” 
ideo,儼如,1.端莊貌。 ,《新唐書‧郭元振傳》： “自朝還， 對親欣欣， 退就室， 儼如也。” 
ideo,儼爾,1.真切、逼真貌。 ,  宋 梅堯臣 《傳神悅躬上人》詩： “依然見其質， 儼爾恨無音。” 
