arthur,thomas,traditional,simplified,radsup,morphology,MC,OC,variant,Kroll,zdic,note,id
cao2~cui4,cáo~cuì,嘈啐,嘈啐,口,BR,dzaw-tshwojH,NA~*[tsʰ]ˤu[t]-s,NA,"clamorous, loud racket",NA,NA,121
cao2~za2,cáo~zá,嘈囋,嘈囋,口,BR,dzaw-dzat,NA~NA,NA,"clamorous, loud racket",NA,NA,122
cao2~za2,cáo~zá,嘈雜,嘈杂,NA,BR,dzaw-dzop,NA~*[dz]ˤ[u]p,NA,"clamorous, loud racket",形容聲音喧鬧、雜亂。紅樓夢．第五十三回：「一夜人聲嘈雜，語笑喧闐，爆竹起火絡繹不絕。」文明小史．第三回：「聽了聽二門外頭那人聲越發嘈雜，甚至拿磚頭撞的二門鼕鼕的響，其勢岌岌可危。」,NA,123
pen1~bo2,pēn~bó,噴薄,喷薄,NA,BR,phwon-bak,NA~*[b]ˤak,NA,frenzied fury,噴射湧起。如：「錢塘潮，海濤噴薄，氣象萬千，每每吸引無數遊客。」,not sure about morph,1129
yan3~yong2,yǎn~yóng,噞喁,噞喁,口,BR,ngjemX-ngjowng,NA~NA,NA,gaping and gawping,魚嘴巴一開一合的樣子。文選．左思．吳都賦：「泝洄順流，噞喁浮沉。」宋．蘇軾．中秋月寄子由詩三首之一：「寒魚亦不睡，竟夕相噞喁。」,NA,1776
jin4~yin2,jìn~yín,噤吟,噤吟,口,BR,kimH-ngim,NA~*m-qʰ(r)[ə]m,NA,"deformed jaws, unevenly clenched mouth",NA,NA,651
nie4~ru2,niè~rú,囁嚅,嗫嚅,口,BR,nyep-nyu,NA~NA,NA,"speak in hushed tones, sotto voce, breathe a whisper; also (med.) choke back one's wrds, stifle one-self from speaking",有話想說又不敢說，吞吞吐吐的樣子。唐．韓愈．送李愿歸盤谷序：「足將進而趦趄，口將言而囁嚅。」初刻拍案驚奇．卷三十：「太守幾番要問他，囁嚅數次，不敢輕易開口。」亦作「囁囁嚅嚅」。,NA,1077
ao2~ai3,áo~ǎi,囂藹,嚣蔼,NA,BR,ngaw-'ajH,*[ŋ]ˤaw~*qˤa[t]-s,NA,teeming tintamar,NA,NA,29
kan3~ke3,kǎn~kě,坎坷,坎坷,土,BR,khomX-khaX,*[k]ʰˤomʔ~NA,坎軻、轗軻,"pitted with problems, a rough road, rough going, bumpy and stubbled",地不平，不好走。漢．揚雄．河東賦：「濊南巢之坎坷兮。」近崎嶇反平整比喻人潦倒不得志。聊齋志異．卷十一．陳雲棲：「移坐就榻，告愬坎坷，詞旨悲惻。」如：「半生坎坷」。近潦倒、落魄、侘傺反順利亦作「埳軻」。,NA,713
po1~tuo2,pō~tuó,坡坨,坡坨,土,BR,pha-da,NA~NA,NA,"hubbly and rugged, broken and bumpy, of moutnain contours",NA,NA,1199
dan4~man4,dàn~màn,壇曼,坛曼,NA,BR,danH-manH,*[d]anʔ~*mˤa[n]-s,NA,"distantly extended, steadily stretching",NA,NA,265
dan4~man4,dàn~màn,壇漫,坛漫,NA,BR,danH-manH,*[d]anʔ~*mˤa[n]-s,NA,"distantly extended, steadily stretching",NA,NA,266
kuang4~lang2,kuàng~láng,壙埌,圹埌,土,BR,khwangH-langH,*kʷʰˤaŋ-s~NA,NA,boundless (open country),原野廣闊遼遠。莊子．應帝王：「以處壙埌之野。」墳墓。唐．釋玄應．一切經音義．卷七．正法華經：「冢埌：『通俗文：邱塚謂之壙埌。』」,"N.B. missing from page 245, cf. 埌 lang2 pg. 255",754
yi2~mi2,yí~mí,夷靡,夷靡,NA,BR,yij-mje,*ləj~*m(r)aj,NA,"worn and eroded, collapses and crumbled",頹弛或平緩靡弱。文選．潘岳．笙賦：「或按衍夷靡，或竦踴剽急。」,NA,1855
wei3~she2,wěi~shé,委蛇,委蛇,NA,BR,'jwe-ye,*q(r)oj~*Cə.lAj,NA,"wind and writhe, tsisted and tortuous, sinious and serpentine, slip and slide, meander(ing); intricately involved, extensively protracted; relaxed and free, sure and easy",從容自得的樣子。詩經．召南．羔羊：「退食自公，委蛇委蛇。」鄭玄．箋：「委蛇，委曲自得之貌。」蜿蜒曲折的樣子。楚辭．屈原．離騷：「駕八龍之婉婉兮，載雲旗之委蛇。」蛇行，俯伏爬行的樣子。史記．卷六十九．蘇秦傳：「嫂委蛇蒲服，以面掩地而謝。」聊齋志異．卷一．宅妖：「近扶之，膩然而倒，委蛇入壁，移時始沒。」隨順的樣子。莊子．應帝王：「吾與之虛而委蛇。」成玄英．疏：「委蛇，隨順之貌也。」今亦指與人勉強酬應，虛應敷衍的樣子。,wei3 usually reads as wei1; yi2 usually reads as she2,1573
po2~suo1,pó~suō,婆娑,婆娑,女,BR,ba-sa,*[b]ˤa[j]~*[s]ˤa[j],媻娑,"of dancing, whirling round, twirling and swirling, cavort and frolic; also, saunter and stroll, linger and loiter; also, straggling and bedraggled; of reflection, to pause and ponder; of vegetation, in leafy foliage, fully flowering",舞蹈的樣子。詩經．陳風．東門之枌：「子仲之子，婆娑其下。」儒林外史．第十一回：「嗅窗前寒梅數點，且任我俛仰以嬉；攀月中仙桂一枝，久讓人婆娑而舞。」盤旋、停留。文選．宋玉．神女賦：「既姽嫿於幽靜兮，又婆娑乎人間。」闌珊、舒展。北周．庾信．枯樹賦：「此樹婆娑，生意盡矣。」舒展。唐．姚合．遊陽河岸詩：「醉時眠石上，肢體自婆娑。」委婉曲折。文選．王襃．洞簫賦：「風鴻洞而不絕兮，優嬈嬈以婆娑。」茂盛的樣子。爾雅．釋木「如松柏曰茂」句下郭璞．注：「枝葉婆娑。」淚光閃動的樣子。如：「淚眼婆娑」。,NA,1201
wan3~lian4,wǎn~liàn,婉戀,婉恋,NA,BR,'jwonX-ljwenX,*[ʔ]o[n]ʔ~*[r]on-s,NA,gently alluring; tender longings,NA,morphology?,1546
wan3~zhuan3,wǎn~zhuǎn,婉轉,婉转,NA,BR,'jwonX-trjwenX,*[ʔ]o[n]ʔ~*mə-tronʔ,NA,"giving way, yielding; conformably, accommodatig, compatibly, responsive; fluently, smoothly, supplely, flexibly, undulant; tortuous, devious, twining and twisting, sinuous, flexuous; recessed, indented",曲折、委曲。南朝梁．武帝．紫蘭始萌詩：「芬芳與時發，婉轉迎節生。」亦作「宛轉」。含蓄委婉。如：「瞧她含羞帶怯的模樣，真是婉轉可人。」近委婉亦作「宛轉」。輾轉。淮南子．精神：「生不足以挂志，死不足以幽神。屈伸俛仰，抱命而婉轉。」調停、斡旋。初刻拍案驚奇．卷二十五：「而今小弟且把一封書打動他，做個媒兒，煩宗丈與小可婉轉則個。」亦作「宛轉」。形容聲音悅耳動人。唐．高璩．和薛逢贈別詩：「歌聲婉轉添長恨，管色淒涼似到秋。」亦作「宛轉」。綢繆。文選．潘岳．射雉賦：「蕭森繁茂，婉轉輕利。」,NA,1550
po2~suo1,pó~suō,媻娑,媻娑,女,BR,ba-sa,NA~*[s]ˤa[j],婆娑,"of dancing, whirling round, twirling and swirling, cavort and frolic; also, saunter and stroll, linger and loiter; also, straggling and bedraggled; of reflection, to pause and ponder; of vegetation, in leafy foliage, fully flowering",NA,po2 also pronounced pan2,1202
piao1~yao2,piāo~yáo,嫖姚,嫖姚,女,BR,phjew-yew,NA~NA,飄搖,"wafted aloft, floating and fluttering, gracefully gliding, wind-whirled, tossed and tumbled, whirling and swirling; also (med.) of roads, twisting and turning, hard to travel",矯捷強勁。宋．楊萬里．澹庵坐上觀顯上人分茶詩：「銀瓶首下仍尻高，注湯作字勢嫖姚。」或作「票姚」、「票鷂」、「剽姚」、「驃姚」。漢代對將軍的稱號。如漢霍去病曾為嫖姚校尉。或作「票姚」、「票鷂」、「剽姚」、「驃姚」。,NA,1173
jiao1~rao2,jiāo~ráo,嬌嬈,娇娆,女,BR,kjew-nyew,NA~NA,NA,"dainty and delicate, graceful and gentle, tender and dear",嫵媚、美麗。宋．歐陽修．思白兔雜言戲答公儀憶鶴之作：「低垂兩翅趁節拍，婆娑弄影誇嬌嬈。」幼學瓊林．卷二．女子類：「女貌嬌嬈，謂之尤物。」或作「嬌饒」。美女。清．孔尚任．桃花扇．第三十六齣：「那一隊嬌嬈，十車細軟，便是俺的薄薄宦囊。」或作「嬌饒」。,NA,609
rong2~yu3,róng~yǔ,容與,容与,NA,BR,yowng-yoX,*[ɢ](r)oŋ~*m-q(r)aʔ,"容與,溶與","with effortless ease, however one wishes, indulging one's whims; wavering and havering, halting and hesitant",徘徊猶疑。楚辭．屈原．九章．思美人：「固朕形之不服兮，然容與而狐疑。」文選．班昭．東征賦：「悵容與而久駐兮，忘日夕而將昏。」安閒自得。楚辭．屈原．九歌．湘夫人：「時不可兮驟得，聊逍遙兮容與。」宋．張孝祥．水調歌頭．隆中三顧客詞：「綸巾羽扇容與，爭看列仙儒。」,NA,1346
liao2~luo4,liáo~luò,寥落,寥落,NA,BR,lew-lak,NA~*kə.rˤak,NA,"echoless emptiness, beyond earthly limits; fading far away",稀疏。文選．謝朓．京路夜發詩：「曉星正寥落，晨光復泱漭。」近稀疏衰敗、破落。唐．白居易．自河南經亂關內阻饑兄弟離散各在一處因望月有感詩：「田園寥落干戈後，骨肉流離道路中。」冷清，不熱鬧。唐．元稹．行宮詩：「寥落古行宮，宮花寂寞紅。」紅樓夢．第二十三回：「忽想起那大觀園中景致，自己幸過之後，賈政必定敬謹封鎖，不敢使人進去搔擾，豈不寥落？」,NA,850
kang1~lang2,kāng~láng,㝩㝗,㝩㝗,宀,BR,khang-lang,NA~NA,NA,"empty inside, hollow",NA,"cf. 閌閬 kang1lang2 empty space in a building (康 kang1 can mean empty, so = 康廊? Perhaps); also cf. 㝩梁 kang1liang2",717
kang1~liang2,kāng~liáng,㝩梁,㝩梁,NA,BR,khang-ljang,NA~*raŋ,NA,"empty inside, hollow",NA,"cf. 閌閬 kang1lang2 empty space in a building (康 kang1 can mean empty, so = 康廊? Perhaps), also cf. 㝩㝗 kang1lang2",718
ju2~cu4,jú~cù,局促,局促,NA,BR,gjowk-dzjuwk,*N-kʰ(r)ok~NA,跼蹙、侷促,restrained and restricted; cramped and close,器量狹小。文選．古詩十九首．東城高且長：「晨風懷苦心，蟋蟀傷局促。」亦作「侷促」、「跼促」。空間狹小。三國．魏．阮籍．元父賦：「故其城郭，卑小局促。」亦作「侷促」、「跼促」。不安適的樣子。喻世明言．卷二．陳御史巧勘金釵鈿：「那假公子在席上自覺局促，本是能飲的，只推量窄，夫人也不強他。」反從容亦作「侷促」、「跼促」。短促。北史．卷四十五．夏侯道遷傳：「人生局促，何殊朝露，坐上相看，先後間耳。」器量狹小。如：「你這樣心胸侷促的人，是無法成大器的。」反大方亦作「局促」、「跼促」。空間狹小。如：「這房間太侷促，能不能換一間大一點的？」亦作「局促」、「跼促」。不安適的樣子。唐．杜甫．夢李白詩二首之二：「告歸常侷促，苦道來不易」。亦作「局促」、「跼促」。器量狹小。近狹小亦作「局促」、「侷促」。空間狹小。反寬敞亦作「局促」、「侷促」。不安適的樣子。近忐忑反從容亦作「局促」、「侷促」。,NA,675
qi2~yi2,qí~yí,岐嶷,岐嶷,山,BR,gje-ngi,NA~NA,"岐嶷, 崎嶷",precociously intelligent; straddle and stand firm,形容小孩才智出眾、聰明特異。晉書．卷九．簡文帝紀：「幼而岐嶷，為元帝所愛。」唐．李頎．送劉四詩：「愛君少岐嶷，高視白雲鄉。」,morphology?,1232
tiao2~di4,tiáo~dì,岧嵽,岧嵽,山,BR,dew-dejH,NA~NA,"岧岧, 岧嶤, 岧嵽, 岹岹, 岹嶤, 岹嵽","loftily lifted, toweringly tall, high and far, rearing upward",NA,NA,1498
tiao2~yao2,tiáo~yáo,岧嶤,岧嶤,山,BR,dew-ngew,NA~NA,"岧岧, 岧嶤, 岧嵽, 岹岹, 岹嶤, 岹嵽","loftily lifted, toweringly tall, high and far, rearing upward",NA,NA,1504
ju3~yu3,jǔ~yǔ,岨峿,岨峿,山,BR,tshjoX-ngjoX,*[tsʰ]a~NA,NA,"umatched and uneven, jutting and jagged, rough and unruly",NA,cf. 齟齬 ju3yu3,683
tiao2~di4,tiáo~dì,岹嵽,岹嵽,山,BR,dew-dejH,NA~NA,"岧岧, 岧嶤, 岧嵽, 岹岹, 岹嶤, 岹嵽","loftily lifted, toweringly tall, high and far, rearing upward",NA,NA,1499
tiao2~yao2,tiáo~yáo,岹嶤,岹嶤,山,BR,dew-ngew,NA~NA,"岧岧, 岧嶤, 岧嵽, 岹岹, 岹嶤, 岹嵽","loftily lifted, toweringly tall, high and far, rearing upward",NA,NA,1505
ling2~hong1,líng~hōng,岺巆,岺巆,山,BR,leng-xeang,NA~NA,NA,"deep and steep, precipitously plunging",NA,NA,884
kong1~tong2,kōng~tóng,崆峒,崆峒,山,BR,khuwng-duwng,NA~NA,空洞、空同,cavernous void; Daoist term for a mountain of transcendents,NA,NA,739
kong1~yang2,kōng~yáng,崆㟅,崆㟅,山,BR,khuwng-ngaewng,NA~NA,NA,"cragged and crannied, crested and caverned",NA,NA,740
qi2~qu1,qí~qū,崎嶇,崎岖,山,BR,khje-khju,NA~NA,NA,"sloped and slanted, precariously inclined, unsteady and uneven; a rugged moutnain path > hobble along, rough going",山路艱險峻峭，高低不平。文選．陶淵明．歸去來辭：「或命巾車，或棹孤舟，既窈窕以尋壑，亦崎嶇而經丘。」唐．李白．送友人入蜀詩：「見說蠶叢路，崎嶇不易行。」近高低、坎坷、凹凸反平坦、坦平比喻處境艱難。史記．卷三十四．燕召公世家：「燕外迫蠻貉，內措齊晉，崎嶇彊國之閒，最為弱小，幾滅者數矣。」宋．蘇軾．書黃子思詩集後：「唐末司空圖崎嶇兵亂之間，而詩文高雅，猶有承平之遺風。」,NA,1230
qi2~yi2,qí~yí,崎嶷,崎嶷,山,BR,khje-ngi,NA~NA,"岐嶷, 崎嶷",precociously intelligent; straddle and stand firm,NA,NA,1233
zheng1~rong2,zhēng~róng,崢嶸,峥嵘,山,BR,dzreang-hjwaeng,*[dz]ˤreŋ~*[ɢ]ʷreŋ,NA,"craggy, precipitous masses of rock; loftily lifted; sheer steepness; high-piled; rocky heights; of time, adding up and accumulating, advance and accrue",NA,NA,2057
qian1~yan2,qiān~yán,嵌巖,嵌巖,山,BR,khaem-ngaem,NA~*[ŋ]ˤr[a]m (< uvular?),NA,fissued and sheer,山洞。唐．盧照鄰．悲昔遊詩：「因嵌巖以為室，就芬芳以列筵。」,NA,1246
ceng2~rong2,céng~róng,嶒峵,嶒峵,山,BR,dzing-hjwaeng,NA~NA,NA,soaring steeply upward,NA,NA,133
qin1~cen2,qīn~cén,嶔岑,嶔岑,山,BR,khim-dzrim,NA~NA,NA,"steeply climbing, perilously peaked, hazardously high",山勢高險的樣子。楚辭．淮南小山．招隱士：「嶔岑碕礒兮，碅磳磈硊。」洪興祖．補注：「嶔岑，山高險也。」亦作「嶔崟」。,NA,1278
qin1~qi2,qīn~qí,嶔崎,嶔崎,山,BR,khim-khje,NA~NA,NA,"steeply climbing, perilously peaked, hazardously high",山勢險峻的樣子。漢．王延壽．王孫賦：「生深山之茂林，處嶄巖之嶔崎。」形容人有骨氣、品格卓越不凡。宋．秦觀．南都新亭行寄王子發詩：「亭下嶔崎淮海客，末路逢公詩酒共。」,NA,1279
yao2~e4,yáo~è,嶢嶭,嶢嶭,山,BR,ngew-ngat,NA~NA,"嶕嶢, 嶢嶭",tall and towering,NA,NA,1812
jie2~nie4,jié~niè,巀櫱,巀櫱,山,BR,dzat-ngat,NA~*ŋ(r)at,NA,sheet and sharp,NA,NA,639
long2~song3,lóng~sǒng,巃嵸,巃嵸,山,BR,luwng-sowngX,NA~NA,NA,"arching aloft, sharply spiring",NA,NA,923
xi1~xian3,xī~xiǎn,巇險,巇险,NA,BR,xje-xjaemX,NA~*qʰr[a]mʔ,"巇險, 險巇","hazardous and high, perilous peaks",NA,NA,1630
bu4~hu4,bù~hù,布濩,布濩,NA,BR,puH-huH,*pˤa-s~NA,NA,spread and scatter afar,分散遍布。文選．張衡．東京賦：「聲教布濩，盈溢天區。」文選．左思．蜀都賦：「麋蕪布濩於中阿，風連莚蔓於蘭皋。」,NA,100
xi1~yi2,xī~yí,希夷,希夷,NA,BR,xj+j-yij,*qʰəj~*ləj,NA,mysteriously inaudible and invisible,原指道的本體無聲無色。語本老子．第十四章：「視之不見名曰夷，聽之不聞名曰希。」後用以指虛空玄妙。唐．柳宗元．愚溪詩序：「以愚辭歌愚溪，則茫然而不違，昏然而同歸，超鴻蒙，混希夷，寂寥而莫我知也。」靈芝的別名。見「靈芝」條。,NA,1634
mi4~li4,mì~lì,幎歷,幎历,NA,BR,mek-lek,NA~*[r]ˤek,NA,"hooded hiding place, dense underbrush, copsy covert",NA,NA,1015
fang3~fu2,fǎng~fú,彷彿,彷彿,彳,BR,phjangX-phjut,*[b]ˤaŋ~*pʰ[u]t,仿佛,vaguely resembling; faded and vague; vague shape,似乎、好像、近似。南朝梁．劉勰．文心雕龍．哀弔：「卒章五言，頗似歌謠，亦仿彿乎漢武也。」儒林外史．第八回：「王惠見那少年彷彿有些認得，卻想不起。」近髣髴、類似、好像、似乎亦作「仿佛」、「髣髴」。,NA,349
jing4~ting2,jìng~tíng,徑廷,径廷,NA,BR,kengH-deng,*[k]ˤeŋ-s~*lˤeŋ,NA,off the mark; errant in the extreme,差距很大。文選．劉孝標．辯命論：「如使仁而無報，奚為修善立名乎？斯徑廷之辭也。」亦作「徑庭」、「逕庭」。,NA,656
xi3~yi3,xǐ~yǐ,徙倚,徙倚,NA,BR,sjeX-'jeX,*[s]ajʔ~*Cə.q(r)ajʔ,NA,"halting and hesitant, troubled and undecided",徘徊。楚辭．屈原．遠遊：「步徙倚而遙思兮，怊惝怳而乖懷。」文選．古詩十九首．凜凜歲云暮：「徙倚懷感傷，垂涕沾雙扉。」,NA,1638
cong1~rong2,cōng~róng,從容,从容,NA,BR,tshjowng-yowng,*[dz]oŋ~*[ɢ](r)oŋ,NA,"aimlessly at ease, easy-going, idle indifference, make peace; rile up",舒緩悠閒的樣子。詩經．小雅．都人士．序：「古者長民，衣服不貳，從容有常，以齊其民，則民德歸壹。」五代史平話．周史．卷下：「與晟飲酒，從容訪問，晟終不言。」近鎮靜、沉著反逼迫、趕緊、慌忙、慌張、急迫、急忙、急促、緊張、局促、跼促、操切、倉皇、匆促充裕、不緊迫。初刻拍案驚奇．卷三：「東山到底不明白，卻是驟得了千來兩銀子，手頭從容。」如：「時間很從容。」慫恿。史記．卷一一八．衡山王傳：「微知淮南、衡山有逆計，日夜從容勸之。」,從 cong1 also cong2; cf. 舂容 chong1rong2 where rong2 is also meaningless,230
xiang1~yang2,xiāng~yáng,忀徉,忀徉,彳,BR,sjang-yang,NA~NA,"儴佯, 忀徉, 相羊","roam round and about, stroll and saunter",NA,NA,1662
yang4~yi4,yàng~yì,怏悒,怏悒,心,BR,'jangX-'ip,NA~NA,NA,"glum and dolorous, chagrined and thwarted",NA,NA,1804
fei4~wei4,fèi~wèi,怫愄,怫愄,心,BR,bj+jH-mj+jH,*[b][u]t-s~NA,NA,grumbling and grieving; lagging and faltering,NA,怫 fei4 also fu2 (MC bjut),362
xi1~xie4,xī~xiè,恓屑,恓屑,NA,BR,sej-set,NA~*s-lˤi[t],"恓恓, 恓惶, 恓屑","perturbed, troubled; agitated, unquiet",NA,NA,1632
lin2~li4,lín~lì,惏悷,惏悷,心,BR,lim-lejH,NA~NA,NA,"joyless and mournful; woebegone, sad",悲傷的樣子。文選．宋玉．高唐賦：「令人惏悷憯悽，脅息增欷。」,惏 lin2 also lan2 (MC lom) same as 婪,864
ti4~xi1,tì~xī,惕息,惕息,心,BR,thek-sik,*l̥ˤek~*sək,NA,"trembling in terror, shuddering with dread",戰兢恐懼而喘息。形容害怕到了極點。漢書．卷六十二．司馬遷傳：「當此之時，見獄吏則頭槍地，視徒隸則心惕息。」宋史．卷二六七．陳恕傳：「旋出知江陵府，大發群吏姦贓，坐徒、流、停、廢者甚眾，郡內惕息。」,two different hear radicals!,1487
xing1~song1,xīng~sōng,惺忪,惺忪,心,BR,seng-sowng,NA~NA,"惺忪, 惺鬆","awaken, come to one's senses, astute and aware",清醒、睡醒。宋．潘汾．玉蝴蝶．睡起日高鶯囀詞：「醉眼羞抬，嬌困猶自未惺忪。」明．湯顯祖．牡丹亭．第二十齣：「不隄防你後花園閒夢銃，不分明再不惺忪，睡臨侵打不起頭梢重。」或作「惺鬆」。形容聲音輕快悅耳。宋．晏幾道．醜奴兒．日高庭院楊花轉詞：「鶯語惺忪，似笑金屏昨夜空。」或作「惺鬆」。,NA,1707
xing1~song1,xīng~sōng,惺鬆,惺松,NA,BR,seng-sowng,NA~NA,"惺忪, 惺鬆","awaken, come to one's senses, astute and aware",NA,NA,1708
ge2~gui3,gé~guǐ,愅詭,愅诡,NA,BR,keak-kjweX,NA~*[k](r)ojʔ,NA,modify and remold,NA,cf. modern 革 ge2,409
chuang3~huang3,chuǎng~huǎng,愴怳,怆怳,心,BR,tsrhjangX-xjangX,NA~NA,NA,distraught and downcast,NA,cf. similar forms 惝怳 chang3huang3; 愴 chuang3 also read as chuang4 (tsrhjangH),211
kai3~ti4,kǎi~tì,愷悌,恺悌,心,BR,khojX-dejX,*C.qʰˤəjʔ~NA,NA,contented and carefree,和樂平易。左傳．僖公十二年：「愷悌君子，神所勞矣。」唐．李嶠．上雍州高長史書：「愷悌之慈允洽，敷腴之好不忘。」,NA,705
can3~cui4,cǎn~cuì,慘悴,惨悴,心,BR,tshomX-tshwojH,NA~NA,NA,"haggard and careworn, wan and waster",NA,NA,106
ao4~nao3,ào~nǎo,懊惱,懊恼,心,BR,'awH-nawX,NA~NA,NA,vexed,心中鬱恨、悔恨。唐．白居易．聽竹枝贈李侍御詩：「巴童巫女竹枝歌，懊惱何人怨咽多。」儒林外史．第十回：「魯編修自覺得此事不甚吉利，懊惱了一回，又不好說。」近悔恨、懊悔、懊喪鷓鴣啼叫聲。唐．韋莊．鷓鴣詩：「懊惱澤家非有恨，年年常憶鳳城歸。」自注：「懊惱澤家，鷓鴣之音也。」,NA,39
qi1~cu4,qī~cù,戚促,戚促,NA,BR,tshek-thsjowk,*s.tʰˤiwk~NA,"戚草, 戚促","(med.) urgent, pressing; hastily > transitory, temporary, ephemeral",NA,NA,1214
qi1~cao3,qī~cǎo,戚草,戚草,NA,BR,tshek-tshawX,*s.tʰˤiwk~*[tsʰ]ˤuʔ,"戚草, 戚促","(med.) urgent, pressing; hastily > transitory, temporary, ephemeral",NA,NA,1210
